id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
13165142,134980,The Hunger Angel,080509301X,9780805093018,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333549068l/13165142._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333549068l/13165142._SX50_.jpg,2012,4,24,eng,Metropolitan Books,false,6966223,90,11115,15768,4053,495,5:1302|4:1483|3:878|2:302|1:88|total:4053,2009,,,3.89,1794,230,['134980'],['Herta Müller'],['3.61'],['157558'],['Philip Boehm'],['4.03'],"It was an icy morning in January 1945 when the patrol came for seventeen-year-old Leo Auberg to deport him to a camp in the Soviet Union. Leo would spend the next five years in a coke processing plant, shoveling coal, lugging bricks, mixing mortar, and battling the relentless calculus of hunger that governed the labor colony: one shovel load of coal is worth one gram of bread.<br /><br />In her new novel, Nobel laureate Herta Müller calls upon her unique combination of poetic intensity and dispassionate precision to conjure the distorted world of the labor camp in all its physical and moral absurdity. She has given Leo the language to express the inexpressible, as hunger sharpens his senses into an acuity that is both hallucinatory and profound. In scene after disorienting scene, the most ordinary objects accrue tender poignancy as they acquire new purpose—a gramophone box serves as a suitcase, a handkerchief becomes a talisman, an enormous piece of casing pipe functions as a lovers' trysting place. The heart is reduced to a pump, the breath mechanized to the rhythm of a swinging shovel, and coal, sand, and snow have a will of their own. Hunger becomes an insatiable angel who haunts the camp day and night, but also a bare-knuckled sparring partner, delivering blows that keep Leo feeling the rawest connection to life.<br /><br />Müller has distilled Leo's struggle into words of breathtaking intensity that take us on a journey far beyond the Gulag and into the depths of one man's soul."
230861,134980,The Land of Green Plums,1862072604,9781862072602,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327888203l/230861._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327888203l/230861._SX50_.jpg,2009,11,1,eng,Granta Books (Uk),false,223593,70,11512,15656,4291,574,5:1071|4:1454|3:1141|2:437|1:188|total:4291,1994,,,3.65,2116,257,['134980'],['Herta Müller'],['3.61'],['16118708'],['Michael Hofmann'],['4.03'],"Set in Romania at the height of Nicolae Ceausescu's reign of terror, this haunting novel tells the story of a group of young students, each of whom has left the impoverished provinces in search of better prospects in the city. It is a profound and powerful look at a totalitarian state which comes to inhabit every aspect of life; to the extent that everyone, even the most strongest, must either bend to the oppressors, or resist them and perish."
2050213,134980,The Appointment,080506012X,9780805060126,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,9,13,,Metropolitan Books,false,261823,52,7448,9897,2917,425,5:491|4:891|3:977|2:389|1:169|total:2917,1997,,,3.39,1492,199,"['134980', '255721', '157558']","['Herta Müller', 'Michael Hulse', 'Philip Boehm']","['3.61', '4.04', '4.03']",[],[],[],"<div>From the winner of the IMPAC Award and the Nobel Prize, a fierce novel about a young Romanian woman's discovery of betrayal in the most intimate reaches of her life<br /><br />""I've been summoned. Thursday, ten sharp."" Thus begins one day in the life of a young clothing-factory worker during Ceaucescu's totalitarian regime. She has been questioned before; this time, she believes, will be worse. Her crime? Sewing notes into the linings of men's suits bound for Italy. ""Marry me,"" the notes say, with her name and address. Anything to get out of the country.<br /><br />As she rides the tram to her interrogation, her thoughts stray to her friend Lilli, shot trying to flee to Hungary, to her grandparents, deported after her first husband informed on them, to Major Albu, her interrogator, who begins each session with a wet kiss on her fingers, and to Paul, her lover, her one source of trust, despite his constant drunkenness. In her distraction, she misses her stop to find herself on an unfamiliar street. And what she discovers there makes her fear of the appointment pale by comparison.<br /><br />Herta Müller pitilessly renders the humiliating terrors of a crushing regime. Bone-spare and intense, <i>The Appointment</i> confirms her standing as one of Europe's greatest writers.<br /></div>"
2050211,134980,The Passport,1852421398,9781852421397,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328705082l/2050211._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328705082l/2050211._SY75_.jpg,2009,10,1,,Serpent's Tail,false,2055147,54,4425,6798,2049,321,5:322|4:586|3:695|2:313|1:133|total:2049,1986,,,3.32,1049,169,['134980'],['Herta Müller'],['3.61'],['74887'],['Martin Chalmers'],['3.91'],"<b>From the winner of the 2009 Nobel Prize in Literature</b><br /><br />“[<i>The Passport</i>] has the same clipped prose cadences as Nadirs, this time applied to evoke the trapped mentality of a man so desperate for freedom that he views everything through a temporal lens, like a prisoner staring at a calendar in his cell.”—<i>Wall Street Journal</i><br /><br />“A swift, stinging narrative, fable-like in its stoic concision and painterly detail.”—<i>The Philadelphia Inquirer</i><br /><br /><i>The Passport</i> is a beautiful, haunting novel whose subject is a German village in Romania caught between the stifling hopelessness of Ceausescu’s dictatorship and the glittering temptations of life in the West. Stories from the past are woven together with the problems Windisch, the village miller, faces after he applies for permission to migrate to West Germany. Herta Müller (Herta Mueller) describes with poetic attention the dreams and superstitions, conflicts and oppression of a forgotten region, the Banat, in the Danube Plain. In sparse, poetic language, Muller captures the forlorn plight of a trapped people."
23847927,134980,The Fox Was Ever the Hunter,0805093028,9780805093025,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428639296l/23847927._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428639296l/23847927._SY75_.jpg,2016,5,10,eng,Metropolitan Books,false,2350342,50,4829,4813,1410,190,5:272|4:423|3:417|2:212|1:86|total:1410,1992,8,14,3.41,554,86,"['134980', '157558']","['Herta Müller', 'Philip Boehm']","['3.61', '4.03']",[],[],[],"<b>An early masterpiece from the winner of the Nobel Prize hailed as the laureate of life under totalitarianism</b><br /><br />Romania—the last months of the Ceausescu regime. Adina is a young schoolteacher. Paul is a musician. Clara works in a wire factory. Pavel is Clara’s lover. But one of them works for the secret police and is reporting on all of the group.<br /><br />One day Adina returns home to discover that her fox fur rug has had its tail cut off. On another occasion it’s the hindleg. Then a foreleg. The mutilated fur is a sign that she is being tracked by the secret police—the fox was ever the hunter.<br /><br />Images of photographic precision combine into a kaleidoscope of terror as Adina and her friends struggle to keep mind and body intact in a world pervaded by complicity and permeated with fear, where it’s hard to tell victim from perpetrator.<br /><br />In <i>The Fox Was Always a Hunter</i>, Herta Müller once again uses language that displays the ""concentration of poetry and the frankness of prose""—as the Swedish Academy noted upon awarding her the Nobel Prize—to create a hauntingly cinematic portrayal of the corruption of the soul under totalitarianism."
42550329,134980,Acil Gerçekdışılıkta Maceralar,6056840549,9786056840548,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540844625l/42550329._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540844625l/42550329._SX50_.jpg,2018,11,1,tur,Jaguar Kitap,false,6706208,27,2703,4278,1039,87,5:425|4:377|3:181|2:46|1:10|total:1039,1936,,,4.12,90,24,"['1694209', '134980', '36088']","['Max Blecher', 'Herta Müller', 'Andrei Codrescu']","['4.09', '3.61', '3.83']",['6576621'],['Suat Kemal Angı'],['3.92'],"“Ruhun belli derinliklerinde sıradan sözcüklerin hükmü yoktur. İşte buradayım ve yaşadığım krizlerin doğru bir tanımını yapmaya çalışıyorum, ama bulabildiğim tek şey imgeler.”<br /><br />O zamanlarda deyim yerindeyse “altın çağ”ını yaşayan modernist romanın dev eserleri arasına, 1936’da Romanya’nın küçük bir kasabasında yazılan bir roman daha katılır: Acil Gerçekdışılıkta Maceralar. <br /><br />Bu küçük hacimli başyapıtın yazarıysa “Ruhun belli derinliklerinde sıradan sözcüklerin hükmü yoktur,” diyen Max Blecher’dır.<br /><br />Romanda genç bir adam, “gerçekdışılıkta maceralar” olarak adlandırdığı zihinsel buhranlar yaşamaktadır. Öyle ki, bir süre sonra tüm dünya onun için tamamıyla bir “imgeler toplamı” haline gelir ve gerçekdışı, gerçekten daha gerçeğe dönüşür: Avrupa’yı esir alacak karabasanı bile, tıpkı bir kâhin gibi, tüm açıklığıyla görür. Yine de, genç adam için “gerçekdışılıkta maceralar”ı anlamlandırmak, adlandırmak kadar kolay olmayacaktır.<br /><br />Yatağa mahkûmiyetinin sekizinci yılında ve ölümünden iki yıl önce kaleme aldığı bu başyapıtıyla Max Blecher’ı Musil, Schulz, Kafka, Pessoa gibi büyük modernist yazarların katına çıkaran Acil Gerçekdışılıkta Maceralar, Herta Müller ile Andrei Codrescu’nun önsözleri ve Suat Kemal Angı’nın çevirisi ile ilk kez Türkçede."
2050214,134980,Nadirs,0803282540,9780803282544,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328819822l/2050214._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328819822l/2050214._SY75_.jpg,1999,9,1,,University of Nebraska Press,false,2055150,43,2380,3477,1020,179,5:175|4:340|3:295|2:147|1:63|total:1020,1982,,,3.41,302,53,"['134980', '460276']","['Herta Müller', 'Sieglinde Lug']","['3.61', '3.57']",[],[],[],"Juxtaposing reality and fantasy, nightmares and dark laughter, <i>Nadirs</i> is a collection of largely autobiographical stories based on Herta Müller's childhood in the Romanian countryside. The individual tales reveal a child s often nightmarish impressions of life in her village. Seamlessly mixing reality with dream-like images, they brilliantly convey the inner, troubled life of a child and at the same time capture the violence and corruption of life under an oppressive state. Herta Müller has been one of the most prolific and acclaimed German-language writers of the last decade. Born in 1953 in the Banat, a German-language region of Romania, she emigrated to West Berlin in 1987 and currently resides in Hamburg. She has received numerous literary awards, including the Kleist Prize. In 1998 her novel <i>The Land of Green Plums</i> was awarded the International IMPAC Dublin Literary Award."
4093349,134980,Der König verneigt sich und tötet,3596175348,9783596175345,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333050956l/4093349._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333050956l/4093349._SY75_.jpg,2008,,,ger,Fischer,false,4140497,24,1233,1864,468,50,5:163|4:168|3:109|2:22|1:6|total:468,2003,8,,3.98,207,12,['134980'],['Herta Müller'],['3.61'],[],[],[],"Das eindrucksvolle Bild einer Lebenserfahrung unter absoluter Herrschaft: Herta Müller, die bedeutende und sprachmächtige Autorin, wuchs auf im Rumänien unter der Diktatur Ceausescus. Hier erfuhr sie Sprache als Instrument der Unterdrückung, aber auch als Möglichkeit des Widerstands und der Selbstbehauptung gegenüber der totalitären Macht. Und dieses Sprachbewusstsein stellt sie neben Erinnerungen an die Kindheit in den Mittelpunkt ihrer poetischen und politischen Selbstbefragung."
816476,134980,Traveling on One Leg,0810116413,9780810116412,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,11,11,,Northwestern University Press,false,1333536,18,1045,1591,505,50,5:61|4:145|3:150|2:107|1:42|total:505,1989,,,3.15,196,19,"['134980', '426520', '63434']","['Herta Müller', 'Valentina Glajar', 'André Lefevere']","['3.61', '3.32', '3.61']",[],[],[],"The protagonist of Herta Muller's Traveling on One Leg is Irene, a fragile woman born to a German family in Romania, who has recently emigrated from Romania to Germany. The novel focuses on Irene's relationship with three men: Franz, whom she met in Romania and who was unwilling to respond to her love for him; Stefan, a friend of Franz's; and Thomas, a bisexual bookseller in perpetual crisis. Despite being born to a German family, Irene's place in Germany is as a recent emigre and an unassimilated Romanian German. She feels neither longing for Romania nor any comfort in her newly adopted Germany. Politically and socially isolated, Irene moves within the emotional orbit of these three men, while at the same time moving between West Berlin, Marburg, and Frankfurt, taking a dissonant journey within strange yet familiar territory. Characterized by the same sense of profound isolation found in Muller's The Land of Green Plums (see page 20), Traveling on One Leg is a poignant exploration of exile, homeland, and identity."
23304633,134980,Für ein Lied und hundert Lieder: Ein Zeugenbericht aus chinesischen Gefängnissen,,9783596190003,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2012,,,ger,Fischer,false,17095079,16,1114,1110,277,35,5:91|4:116|3:57|2:7|1:6|total:277,2011,,,4.01,3,0,"['6693470', '134980']","['Liao Yiwu', 'Herta Müller']","['4.12', '3.61']",['362130'],['Hans Peter Hoffmann'],['3.88'],
23482412,134980,Mein Vaterland war ein Apfelkern: Herausgegeben von Angelika Klammer,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,43073216,13,323,579,132,13,5:63|4:60|3:7|2:1|1:1|total:132,2014,9,,4.39,48,6,"['134980', '2060604']","['Herta Müller', 'Angelika Klammer']","['3.61', '4.29']",[],[],[],"""Ich stehe (wie so oft) auch hier neben mir selbst."" So begann Herta Müller ihre Tischrede nach der Verleihung des Nobelpreises. In einem langen Gespräch mit Angelika Klammer erzählt sie von ihrem ungewöhnlichen Lebensweg, der vom Kind, das Kühe hütet, bis zur weltweit bekannten Schriftstellerin im Stadthaus in Stockholm führt. Sie erzählt von der Kindheit in Rumänien, vom Erwachsenwerden und dem erwachenden politischen Bewusstsein, von den frühen Begegnungen mit der Literatur, den Konflikten mit der Diktatur des Kommunismus und dem eigenen Weg zum Schreiben. Mit ihrem Bericht vom Ankommen in einem neuen Land fällt auch ein ungewohnter Blick auf das Deutschland der 80er und 90er Jahre und auf die Gesellschaft, in der wir heute leben."
