id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
894154,121407,Red Sorghum,0140168540,9780140168549,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945265l/894154._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945265l/894154._SY75_.jpg,1994,4,1,eng,Penguin Books,false,460549,81,17128,19853,5299,654,5:1342|4:2031|3:1338|2:417|1:171|total:5299,1987,,,3.75,3527,384,['121407'],['Mo Yan'],['3.72'],['203371'],['Howard Goldblatt'],['3.75'],"Spanning three generations, this novel of family and myth is told through a series of flashbacks that depict events of staggering horror set against a landscape of gemlike beauty, as the Chinese battle both Japanese invaders and each other in the turbulent 1930s. A legend in China, where it won major literary awards and inspired an Oscar-nominated film, <i>Red Sorghum</i> is a book in which fable and history collide to produce fiction that is entirely new and unforgettable."
1320279,121407,Life and Death are Wearing Me Out,1559708530,9781559708531,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,en-US,,false,1309625,8,11195,13134,3298,407,5:1191|4:1203|3:629|2:205|1:70|total:3298,2006,,,3.98,2270,277,['121407'],['Mo Yan'],['3.72'],['203371'],['Howard Goldblatt'],['3.75'],
22522167,121407,Frog,0525427988,9780525427988,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403193908l/22522167._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403193908l/22522167._SY75_.jpg,2015,1,22,eng,Viking,false,17258994,65,7916,10055,2709,339,5:604|4:1075|3:740|2:225|1:65|total:2709,2009,,,3.71,1517,173,"['121407', '203371']","['Mo Yan', 'Howard Goldblatt']","['3.72', '3.75']",[],[],[],"Mo Yan chronicles the sweeping history of modern China through the lens of the nation’s controversial one-child policy.<br /><br /><i>Frog </i>opens with a playwright nicknamed Tadpole who plans to write about his aunt. In her youth, Gugu—the beautiful daughter of a famous doctor and staunch Communist—is revered for her skill as a midwife. But when her lover defects, Gugu’s own loyalty to the Party is questioned. She decides to prove her allegiance by strictly enforcing the one-child policy, keeping tabs on the number of children in the village, and performing abortions on women as many as eight months pregnant."
670217,121407,Big Breasts and Wide Hips,1559706724,9781559706728,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,656252,49,7807,8922,2366,325,5:667|4:847|3:581|2:185|1:86|total:2366,1996,,,3.77,1502,171,"['121407', '203371']","['Mo Yan', 'Howard Goldblatt']","['3.72', '3.75']",[],[],[],"China's most important contemporary literary voice delivers a portrait of twentieth-century China full of historical sweep and earthy exuberance.In his latest novel, Mo Yan—arguably China’s most important contemporary literary voice—recreates the historical sweep and earthy exuberance of his much acclaimed novel Red Sorghum. In a country where patriarchal favoritism and the primacy of sons survived multiple revolutions and an ideological earthquake, this epic novel is first and foremost about women, with the female body serving as the book’s central metaphor. The protagonist, Mother, is born in 1900 and married at seventeen into the Shangguan family. She has nine children, only one of whom is a boy—the narrator of the book. A spoiled and ineffectual child, he stands in stark contrast to his eight strong and forceful female siblings.Mother, a survivor, is the quintessential strong woman who risks her life to save several of her children and grandchildren. The writing is picturesque, bawdy, shocking, and imaginative. The structure draws on the essentials of classical Chinese formalism and injects them with extraordinarily raw and surprising prose. Each of the seven chapters represents a different time period, from the end of the Qing dynasty up through the Japanese invasion in the 1930s, the civil war, the Cultural Revolution, and the post-Mao years. Now in a beautifully bound collectors edition, this stunning novel is Mo Yan’s searing vision of twentieth-century China."
7235399,121407,Change,1906497486,9781906497484,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,5,15,,Seagull Books,false,8132917,50,3994,8348,2440,291,5:280|4:823|3:1017|2:285|1:35|total:2440,2010,,,3.42,1089,106,['121407'],['Mo Yan'],['3.72'],[],[],[],"In <i>Change</i>, Mo Yan, the 2012 Nobel Laureate in Literature, personalizes the political and social changes in his country over the past few decades in this novella disguised as autobiography—or vice-versa. Unlike most historical narratives from China, which are pegged to political events, <i>Change</i> is a representative of “people’s history,” a bottom-up rather than top-down view of a country in flux. By moving back and forth in time and focusing on small events and everyday people, Mo Yan breathes life into history by describing the effects of larger-than-life events on the average citizen.<br /><br />“Through a mixture of fantasy and reality, historical and social perspectives, Mo Yan has created a world reminiscent in its complexity of those in the writings of William Faulkner and Gabriel García Márquez, at the same time finding a departure point in old Chinese literature and in oral tradition.”— Nobel Committee for Literature<br /><br /><br /> <br />“If China has a Kafka, it may be Mo Yan. Like Kafka, Yan has the ability to examine his society through a variety of lenses, creating fanciful, Metamorphosis-like transformations or evoking the numbing bureaucracy and casual cruelty of modern governments.” —<i>Publishers Weekly, on Shifu: You'll Do Anything for a Laugh</i>"
251392,121407,The Garlic Ballads,1559707755,9781559707756,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,1,11,,Arcade Publishing,false,1770054,55,5556,8144,2184,287,5:515|4:868|3:552|2:192|1:57|total:2184,1988,4,1,3.73,1471,192,"['121407', '203371']","['Mo Yan', 'Howard Goldblatt']","['3.72', '3.75']",[],[],[],"The farmers of Paradise County have been leading a hardscrabble life unchanged for generations. The Communist government has encouraged them to plant garlic, but selling the crop is not as simple as they believed. Warehouses fill up, taxes skyrocket, and government officials maltreat even those who have traveled for days to sell their harvest. A surplus on the garlic market ensues, and the farmers must watch in horror as their crops wither and rot in the fields. Families are destroyed by the random imprisonment of young and old for supposed crimes against the state. <br /><br />The prisoners languish in horrifying conditions in their cells, with only their strength of character and thoughts of their loved ones to save them from madness. Meanwhile, a blind minstrel incites the masses to take the law into their own hands, and a riot of apocalyptic proportions follows with savage and unforgettable consequences. The Garlic Ballads is a powerful vision of life under the heel of an inflexible and uncaring government. It is also a delicate story of love between man and woman, father and child, friend and friend—and the struggle to maintain that love despite overwhelming obstacles."
472276,121407,The Republic of Wine,1559705760,9781559705769,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,8,24,,Arcade Publishing,false,460551,11,4102,5653,1613,179,5:331|4:547|3:440|2:195|1:100|total:1613,1992,,,3.50,1094,109,"['121407', '203371']","['Mo Yan', 'Howard Goldblatt']","['3.72', '3.75']",[],[],[],"When special investigator Ding Gou'er hears persistent rumors that there is cannibalism in the province called the Republic of Wine, he goes to learn the truth. Beginning at the Mount Luo Coal Mine, he meets Diamond Jin, legendary for his capacity to hold his liquor and fondness for young human flesh. A banquet is served during which the special investigator, by meal's end in an alcohol-induced stupor, loses all sense of reality. Interspersed are stories sent to Mo Yan himself by Li Yidou (aka Doctor of Liquor Studies), each one more mad than the next. Wild and politically explosive, <i>The Republic of Wine</i> proves that no regime can stifle creative imagination.<p></p><p><b>Author Biography:</b> Mo Yan was born in 1952 to a peasant family in Shandong. Despite the audacity of his writing, he has won virtually every national literary prize, including most recently China's Annual Writer's Prize, its most prestigious award. In 2002, Arcade will publish his novel <i>Big Breasts and Wide Hips</i>.</p>"
207559,121407,"Shifu, You'll Do Anything for a Laugh",1559706716,9781559706711,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,7,16,,Arcade Publishing,false,200892,31,2267,3620,1008,128,5:156|4:384|3:379|2:78|1:11|total:1008,2001,,,3.59,696,78,['121407'],['Mo Yan'],['3.72'],['203371'],['Howard Goldblatt'],['3.75'],"In these stories, we see the breathtaking range of Mo Yan's vision--which critics have compared to those of Tolstoy and Kafka. The stories range from the tragic to the comic, though Mo Yan's humor is always tinged with a shade of black. They embody, too, the author's deep and abiding love of his fellow man, equaled only by his intense disdain of bureaucracy and repression--despite which his fiction is never didactic. Satire, fantasy, the supernatural, mystery: all are present in this remarkable and intensely enjoyable volume.<br />- The release of award-winning director Zhang Yimou's major film adaptation of the title story (Happy Times) in summer 2002 heightened the visibility of both the author and this collection.<br />- This paperback is being published simultaneously with the author's mangum opus, Big Breasts and Wide Hips--a return to the sweep and ambition of his bestelling Red Sorghum--which will receive major critical acclaim and further raise Mo Yan's profile in the States.<br />- One of the stories in the volume serves as a companion piece to the author's hugely popular Red Sorghum.<br />- Hardcover ISBN: 1-55970-565-5"
16087986,121407,Sandalwood Death,0806143398,9780806143392,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351663440l/16087986._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351663440l/16087986._SX50_.jpg,2012,11,15,eng,University of Oklahoma Press,false,6611008,30,2310,2496,597,92,5:274|4:210|3:75|2:23|1:15|total:597,2001,,,4.18,303,45,"['121407', '203371']","['Mo Yan', 'Howard Goldblatt']","['3.72', '3.75']",[],[],[],"This powerful novel by Mo Yan—one of contemporary China’s most famous and prolific writers—is both a stirring love story and an unsparing critique of political corruption during the final years of the Qing Dynasty, China’s last imperial epoch.<br /><br /><i>Sandalwood Death</i> is set during the Boxer Rebellion (1898–1901)—an anti-imperialist struggle waged by North China’s farmers and craftsmen in opposition to Western influence. Against a broad historical canvas, the novel centers on the interplay between its female protagonist, Sun Meiniang, and the three paternal figures in her life. One of these men is her biological father, Sun Bing, an opera virtuoso and a leader of the Boxer Rebellion. As the bitter events surrounding the revolt unfold, we watch Sun Bing march toward his cruel fate, the gruesome “sandalwood punishment,” whose purpose, as in crucifixions, is to keep the condemned individual alive in mind-numbing pain as long as possible.<br /><br />Filled with the sensual imagery and lacerating expressions for which Mo Yan is so celebrated<i>, Sandalwood Death</i> brilliantly exhibits a range of artistic styles, from stylized arias and poetry to the antiquated idiom of late Imperial China to contemporary prose. Its starkly beautiful language is here masterfully rendered into English by renowned translator Howard Goldblatt."
15059453,121407,POW!,0857420763,9780857420763,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369870252l/15059453._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369870252l/15059453._SX50_.jpg,2012,12,15,,Seagull Books,false,20714144,17,1475,1457,419,69,5:77|4:140|3:127|2:56|1:19|total:419,2003,,,3.48,329,56,['121407'],['Mo Yan'],['3.72'],['203371'],['Howard Goldblatt'],['3.75'],"In this novel by the 2012 Nobel Laureate in Literature, Mo Yan, a benign old monk listens to a prospective novice’s tale of depravity, violence, and carnivorous excess while a nice little family drama—in which nearly everyone dies—unfurls. But in this tale of sharp hatchets, bad water, and a rusty WWII mortar, we can’t help but laugh. Reminiscent of the novels of dark masters of European absurdism like Günter Grass, Witold Gombrowicz, or Jakov Lind, Mo Yan’s <i>POW!</i> is a comic masterpiece.<br /><br /> In this bizarre romp through the Chinese countryside, the author treats us to a cornucopia of cooked animal flesh—ostrich, camel, donkey, dog, as well as the more common varieties. As his dual narratives merge and feather into one another, each informing and illuminating the other, Mo Yan probes the character and lifestyle of modern China. Displaying his many talents, as fabulist, storyteller, scatologist, master of allusion and cliché, and more, <i>POW!</i> carries the reader along quickly, hungrily, and giddily, up until its surprising dénouement.<br /><br /> Mo Yan has been called one of the great novelists of modern Chinese literature and <i>the New York Times Book Review </i>has hailed his work as harsh and gritty, raunchy and funny. He writes big, sometimes mystifying, sometimes infuriating, but always entertaining novels—and <i>POW!</i> is no exception.<br /><br />"
17726717,121407,الثور,,9789777183055,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364929405l/17726717._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364929405l/17726717._SX50_.jpg,2013,4,,ara,الهيئة العامة لقصور الثقافة - القاهرة,false,21912185,9,655,1021,277,66,5:62|4:109|3:71|2:27|1:8|total:277,1998,,,3.69,167,45,"['121407', '5308549']","['Mo Yan', 'محسن فرجاني']","['3.72', '3.40']",[],[],[],"Mêlant souvenirs et imagination débordante, ces deux nouvelles que relient l’attachement de Mo Yan à l’enfance, à sa province natale et au monde animal, décrivent une Chine rurale où la débrouillardise permet d’affronter la dure réalité. Mo Yan lui-même s’y dévoile comme jamais, en adolescent turbulent et bavard aux prises avec la souffrance du veau, la misère, et la ruse infinie des hommes, ou en observateur de dix ans, candide et curieux, de la course de fond organisée par l’école. À chaque tour de piste, c’est la surprise, le suspense grandit tandis que l’enfant dresse un tableau truculent de la vie de son canton dans les années soixante. Mo Yan laisse exploser avec délices la malice et l’énergie de l’enfance, la bonhommie, le courage et l’humour vache du monde paysan soumis aux lois absurdes de l’époque maoïste."
