id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6428259,112052,"À l'ouest, rien de nouveau",223406211X,9782234062115,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459783749l/6428259._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459783749l/6428259._SX50_.jpg,2009,3,11,fre,Stock,false,2662852,456,563539,1369324,344558,9923,5:129909|4:116387|3:67470|2:21029|1:9763|total:344558,1929,,,3.97,20,3,"['4116', '112052', '397537', '397538']","['Erich Maria Remarque', 'Patrick Modiano', 'Olivier Bournac', 'Alzir Hella']","['4.06', '3.51', '4.13', '4.13']",[],[],[],"""Quand nous partons, nous ne sommes que de vulgaires soldats, maussades ou de bonne humeur et, quand nous arrivons dans la zone où commence le front, nous sommes devenus des hommes-bêtes...""<br /><br />Témoignage d'un simple soldat allemand de la guerre de 1914-1918, A l'ouest rien de nouveau, roman pacifiste, réaliste et bouleversant, connut, dès sa parution en 1928, un succès mondial retentissant et reste l'un des ouvrages les plus forts dans la dénonciation de la monstruosité de la guerre."
1977834,112052,Dans le café de la jeunesse perdue,2070786064,9782070786060,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462053670l/1977834._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462053670l/1977834._SX50_.jpg,,,,fre,Gallimard,false,1981186,63,13640,25051,7135,851,5:1164|4:2526|3:2429|2:824|1:192|total:7135,2007,,,3.51,2309,161,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"« Encore aujourd'hui, il m'arrive d'entendre, le soir, une voix qui m'appelle par mon prénom, dans la rue. Une voix rauque. Elle traîne un peu sur les syllabes et je la reconnais tout de suite : la voix de Louki. Je me retourne, mais il n'y a personne. Pas seulement le soir, mais au creux de ces après-midi d'été où vous ne savez plus très bien en quelle année vous êtes. Tout va recommencer comme avant. Les mêmes jours, les mêmes nuits, les mêmes lieux, les mêmes rencontres. L'Éternel Retour. » <br /><br />Quatre narrateurs (un étudiant de l’école des mines, un détective privé, l’héroïne et un de ses amants) construisent le portrait de Jacqueline Delanque ou Louki. Jeune femme ayant rapidement quitté son mari et qui flâne dans le Paris des années 50/60 en déversant ses souvenirs : une enfance difficile, un mariage raté et quelques amitiés avec des clients d’un café du quartier de l’Odéon : Le Condé."
192377,112052,Rue des Boutiques Obscures,2070373584,9782070373581,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,5,1,fre,Gallimard Education,false,186016,87,12739,22688,6244,787,5:1171|4:2444|3:1936|2:556|1:137|total:6244,1978,9,,3.63,2798,256,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"Que reste-t-il de la vie d'un homme ? Une photo, au fond d'une boîte ou d'un tiroir, des papiers administratifs, quelquefois une fiche de police ou un nom dans un Bottin. Et aussi les souvenirs de ceux qui l'ont connu ou rencontré. Ils seront de moins en moins nombreux et leurs souvenirs de plus en plus vagues. Ainsi l'écho d'une vie décroît-il jusqu'à s'éteindre tout à fait. A supposer que quelqu'un puisse revenir sur terre après sa mort, que retrouverait-il de lui dans les lieux qui lui étaient familiers et dans la mémoire des autres ? Et qui pousse un certain Guy Roland, employé dans une agence de police privée que dirige un baron balte, à partir à la recherche d'un inconnu disparu depuis longtemps ? Le besoin de se retrouver lui-même après des années d'amnésie ? Au cours de sa recherche, il recueille des bribes de la vie de cet homme qui était peut-être lui et à qui, de toute façon, il finit par s'identifier. Comme dans un dernier tour de manège, passent les témoins de la jeunesse de ce Pedro McEvoy, les seuls qui pourraient le reconnaître : Denise Coudreuse, Freddie Howard de Luz, Gay Orlow, Dédé Wildmer, Scouffi, Rubirosa, Sonachitzé, d'autres encore, aux noms et aux passeports compliqués, qui font que ce livre pourrait être l'intrusion des âmes errantes dans le roman policier."
192379,112052,Dora Bruder,0520214269,9780520214262,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414003830l/192379._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414003830l/192379._SX50_.jpg,1999,12,14,eng,University of California Press,false,186018,74,8628,16684,4648,541,5:931|4:1687|3:1366|2:519|1:145|total:4648,1997,4,2,3.59,2693,235,['112052'],['Patrick Modiano'],['3.51'],['14241565'],['Mark Polizzotti'],['3.76'],"Patrick Modiano opens <i>Dora Bruder </i>by telling how in 1988 he stumbled across an ad in the personal columns of the New Year's Eve 1941 edition of <i>Paris Soir</i>. Placed by the parents of a 15-year-old Jewish girl, Dora Bruder, who had run away from her Catholic boarding school, the ad sets Modiano off on a quest to find out everything he can about Dora and why, at the height of German reprisals, she ran away on a bitterly cold day from the people hiding her. He finds only one other official mention of her name on a list of Jews deported from Paris to Auschwitz in September 1942.<br /><br /> With no knowledge of Dora Bruder aside from these two records, Modiano continues to dig for fragments from Dora's past. What little he discovers in official records and through remaining family members, becomes a meditation on the immense losses of the period—lost people, lost stories, and lost history. Modiano delivers a moving account of the ten-year investigation that took him back to the sights and sounds of Paris under the Nazi Occupation, and the paranoia of the Pétain regime as he tries to find connections to Dora. In his efforts to exhume her from the past, Modiano realizes that he must come to terms with the specters of his own troubled adolescence. The result, a montage of creative and historical material, is Modiano's personal rumination on loss, both memoir and memorial."
24452592,112052,So You Don't Get Lost in the Neighborhood,054463506X,9780544635067,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440508583l/24452592._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440508583l/24452592._SY75_.jpg,2015,9,15,eng,Houghton Mifflin Harcourt,false,42854846,64,8351,13608,4200,643,5:464|4:1275|3:1495|2:737|1:229|total:4200,2014,10,2,3.24,1419,235,"['112052', '117537']","['Patrick Modiano', 'Euan Cameron']","['3.51', '3.61']",[],[],[],"<b>A haunting novel of suspense from the winner of the 2014 Nobel Prize in Literature</b><br /><br /> In the stillness of his Parisian apartment, Jean Daragane has built a life of total solitude. Then a surprising phone call shatters the silence of an unusually hot September, and the threatening voice on the other end of the line leaves Daragane wary but irresistibly curious. Almost at once, he finds himself entangled with a shady gambler and a beautiful, fragile young woman, who draw Daragane into the mystery of a decades-old murder. The investigation will force him to confront the memory of a trauma he had all but buried.  With <i>So You Don’t Get Lost in the Neighborhood</i> Patrick Modiano adds a new chapter to a body of work whose supreme psychological insight and subtle, atmospheric writing have earned him worldwide renown — including the Nobel Prize in Literature. This masterly novel, now translated into twenty languages, penetrates the deepest enigmas of identity and compels us to ask whether we ever know who we truly are."
22859597,112052,Suspended Sentences: Three Novellas,0300198051,9780300198058,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413043986l/22859597._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413043986l/22859597._SY75_.jpg,2014,11,25,,Yale University Press,false,42427494,35,6375,9135,2484,403,5:490|4:1000|3:740|2:211|1:43|total:2484,1988,,,3.68,1923,345,"['112052', '14241565']","['Patrick Modiano', 'Mark Polizzotti']","['3.51', '3.76']",[],[],[],"Although originally published separately, Patrick Modiano’s three novellas form a single, compelling whole, haunted by the same gauzy sense of place and characters. Modiano draws on his own experiences, blended with the real or invented stories of others, to present a dreamlike autobiography that is also the biography of a place. Orphaned children, mysterious parents, forgotten friends, enigmatic strangers—each appears in this three-part love song to a Paris that no longer exists. In this superb English-language translation of <i>Afterimage</i>, <i>Suspended Sentences</i>, and <i>Flowers of Ruin</i>, Mark Polizzotti captures not only Modiano’s distinctive narrative voice but also the matchless grace and spare beauty of his prose.<br />  <br /> Shadowed by the dark period of the Nazi Occupation, these novellas reveal Modiano’s fascination with the lost, obscure, or mysterious: a young person’s confusion over adult behavior; the repercussions of a chance encounter; the search for a missing father; the aftershock of a fatal affair. To read Modiano’s trilogy is to enter his world of uncertainties and the almost accidental way in which people find their fates."
50945996,112052,A Bookshop in Berlin,1501199846,9781501199844,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,74527593,35,13012,8542,2204,360,5:552|4:962|3:575|2:94|1:21|total:2204,1945,,,3.88,962,184,"['14551314', '112052']","['Françoise Frenkel', 'Patrick Modiano']","['3.88', '3.51']",[],[],[],"<b>WINNER OF THE JQ-WINGATE LITERARY PRIZE</b><br /><br /><b>""A beautiful and important book"" (<i>The Independent</i>) in the tradition of rediscovered works like <i>Suite Française</i> and <i>The Nazi Officer's Wife</i>, the prize-winning memoir of a fearless Jewish bookseller on a harrowing fight for survival across Nazi-occupied Europe.</b><br /><br />In 1921, Françoise Frenkel--a Jewish woman from Poland--fulfills a dream. She opens La Maison du Livre, Berlin's first French bookshop, attracting artists and diplomats, celebrities and poets. The shop becomes a haven for intellectual exchange as Nazi ideology begins to poison the culturally rich city. In 1935, the scene continues to darken. First come the new bureaucratic hurdles, followed by frequent police visits and book confiscations.<br /><br />Françoise's dream finally shatters on Kristallnacht in November 1938, as hundreds of Jewish shops and businesses are destroyed. La Maison du Livre is miraculously spared, but fear of persecution eventually forces Françoise on a desperate, lonely flight to Paris. When the city is bombed, she seeks refuge across southern France, witnessing countless horrors: children torn from their parents, mothers throwing themselves under buses. Secreted away from one safe house to the next, Françoise survives at the heroic hands of strangers risking their lives to protect her.<br /><br />Published quietly in 1945, then rediscovered nearly sixty years later in an attic, <i>A Bookshop in Berlin</i> is a remarkable story of survival and resilience, of human cruelty and human spirit. In the tradition of <i>Suite Française </i>and <i>The Nazi Officer's Wife</i>, this book is the tale of a fearless woman whose lust for life and literature refuses to leave her, even in her darkest hours."
323477,112052,La Petite Bijou,207042538X,9782070425389,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356112034l/323477._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356112034l/323477._SY75_.jpg,2002,11,1,,Gallimard Education,false,314182,53,4020,8334,2410,204,5:337|4:851|3:876|2:271|1:75|total:2410,2001,,,3.46,970,52,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"Quand j'avais sept ans, on m'appelait la Petite Bijou. "" Il a souri. Il trouvait certainement cela charmant et tendre pour une petite fille. Lui aussi, j'en étais sûre, sa maman lui avait donné un surnom qu'elle lui murmurait à l'oreille, le soir, avant de l'embrasser. Patoche. Pinky. Poulou.<br />"" Ce n'est pas ce que vous croyez, lui ai-je dit. Moi, c'était mon nom d'artiste."
16072177,112052,L'Herbe des nuits,2070138879,9782070138876,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349621709l/16072177._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349621709l/16072177._SX50_.jpg,2012,10,4,fre,Gallimard,false,21866279,45,3530,6741,1992,279,5:268|4:664|3:712|2:261|1:87|total:1992,2012,10,4,3.38,672,52,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"' Jean... Qu'est-ce que tu dirais si j'avais fait quelque chose de grave ? ' J'avoue que cette question ne m'avait pas alarmé. Peut-être à cause du ton détaché qu'elle avait pris, comme on cite les paroles d'une chanson ou les vers d'un poème. Et à cause de ce : 'Jean... Qu'est-ce que tu dirais... 'c était justement un vers qui m était revenu à la mémoire : '. .. Dis, Blaise, sommes-nous bien loin de Montmartre ? '' Qu'est-ce que tu dirais si j'avais tué quelqu'un ? 'J'ai cru qu'elle plaisantait ou qu'elle m'avait posé cette question à cause des romans policiers qu'elle avait l'habitude de lire."
323529,112052,Du plus loin de l'oubli,2070402991,9782070402991,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,10,1,,Gallimard Education,false,314234,33,3164,5746,1590,220,5:298|4:599|3:513|2:141|1:39|total:1590,1995,,,3.61,371,35,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"<i>Du plus loin de l'oubli</i> est une histoire d'amour entre deux bouées. Le narrateur, écrivant en 1995, retourne trente ans dans le passé à un moment où, après avoir abandonné ses études et devenu vendeur des livres d'art anciens pour s'en sortir, il vient de connaître Gérard Van Bever et Jacqueline, un jeune couple énigmatique qui semble vivre de leurs gains avec la roulette. Il tombe amoureux de Jacqueline et ils s'enfuient vers Angleterre, où ils partagent quelques mois tristes, jusqu'au jour où elle disparaît. Quinze ans plus tard, à Paris, ils se rencontrent à nouveau. Ils passent quelques heures ensemble, et le lendemain, Jacqueline, maintenant marié, disparaît une fois de plus. Près de quinze ans plus tard, il la voit encore une fois, cette fois à partir d'une distance et il choisit de ne pas l'approcher."
39278206,112052,Diari,,9788497873888,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521029150l/39278206._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521029150l/39278206._SY75_.jpg,2009,2,1,cat,Grup 62,false,4650500,44,5030,5198,1280,177,5:484|4:468|3:268|2:42|1:18|total:1280,2008,,,4.06,0,0,"['1481334', '17823163', '112052']","['Hélène Berr', 'Marta Roige Balada', 'Patrick Modiano']","['4.06', '0.0', '3.51']",[],[],[],"Des d'abril de 1942 a març de 1944, Hélène Berr, una llicenciada a la Sorbona, escriu un diari que és alhora un document terrible, commovedor, íntim i angoixant, a més d'un text de sorprenent maduresa literària. De la mà dels seus amics, toca el violí i busca refugi de les dificultats de la vida de cada dia en la literatura i poesia anglosaxones, i se'ns mostra com una jove feliç amb la vida resolta. Però som al París sota l'ocupació nazi i la seva famíla és jueva. Aviat arriba el moment en què tots els jueus han de portar una estrella groga, però ella segueix tranquil·la i racional, aferrada a la rutina: estudia, llegeix, disfruta la bellesa de París i es cuida dels nens de famílies jueves deportades. Però, ben amagada, sempre batega la por al futur proper. Finalment, quan arriba la primaver de 1944, Hélène i la seva família són arrestats i deportats a Auschwitz. Poc abans de l'alliberament del camp, l'Hélène mor, el març de 1944, a Bergen-Belsen. Les últimes paraules escrites al diari que va quedar-se a París són profètiques i terribles: ""Horror, Horror, Horror..."", en un homenatge colpidor i desesperat a la literatura anglosaxona."
