id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
357486,7728207,Voices from Chernobyl: The Oral History of a Nuclear Disaster,0312425848,9780312425845,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637138l/357486._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637138l/357486._SX50_.jpg,2006,4,18,eng,Picador,false,1103107,17,93865,139255,31432,4330,5:18008|4:9810|3:2913|2:535|1:166|total:31432,1997,,,4.43,13659,1667,"['7728207', '39840']","['Svetlana Alexievich', 'Keith Gessen']","['4.45', '3.81']",['14529042'],['Alma Lapinskienė'],['4.58'],"<b>Winner of the Nobel Prize in Literature</b><br /><br />On April 26, 1986, the worst nuclear reactor accident in history occurred in Chernobyl and contaminated as much as three quarters of Europe. <i>Voices from Chernobyl</i> is the first book to present personal accounts of the tragedy. Journalist Svetlana Alexievich interviewed hundreds of people affected by the meltdown—from innocent citizens to firefighters to those called in to clean up the disaster—and their stories reveal the fear, anger, and uncertainty with which they still live. Composed of interviews in monologue form, <i>Voices from Chernobyl</i> is a crucially important work of immense force, unforgettable in its emotional power and honesty."
4025275,7728207,War's Unwomanly Face,5010004941,9785010004941,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338204032l/4025275._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338204032l/4025275._SX50_.jpg,1988,,,eng,Progress Publishers,false,15615499,130,50933,68595,15148,2337,5:9591|4:4241|3:1101|2:158|1:57|total:15148,1983,,,4.53,3791,437,['7728207'],['Svetlana Alexievich'],['4.45'],[],[],[],"This book is a confession, a document and a record of people's memory. More than 200 women speak in it, describing how young girls, who dreamed of becoming brides, became soldiers in 1941. More than 500,000 Soviet women participated on a par with men in the Second World War, the most terrible war of the 20th century. Women not only rescued and bandaged the wounded but also fired a sniper's rifle, blew up bridges, went reconnoitering and killed... They killed the enemy who, with unprecedented cruelty, had attacked their land, their homes and their children. Soviet writer of Belarussia, Svetlana Alexiyevich spent four years working on the book, visiting over 100 cities and towns, settlements and villages and recording the stories and reminiscences of women war veterans. The Soviet press called the book""a vivid reporting of events long past, which affected the destiny of the nation as a whole."" The most important thing about the book is not so much the front-line episodes as women's heart-rending experiences in the war. Through their testimony the past makes an impassioned appeal to the present, denouncing yesterday's and today's fascism..."
30200112,7728207,Secondhand Time: The Last of the Soviets,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,true,27225929,98,37695,40735,9173,1369,5:5398|4:2753|3:769|2:173|1:80|total:9173,2013,8,15,4.44,2943,514,['7728207'],['Svetlana Alexievich'],['4.45'],['4414653'],['Bela Shayevich'],['4.27'],"<p>From the 2015 winner of the Nobel Prize in Literature, Svetlana Alexievich, comes the first English translation of her latest work, an oral history of the disintegration of the Soviet Union and the emergence of a new Russia.</p> <p>Bringing together dozens of voices in her distinctive documentary style, <i>Secondhand Time</i> is a monument to the collapse of the USSR, charting the decline of Soviet culture and speculating on what will rise from the ashes of Communism.</p> <p>As in all her books, Alexievich gives voice to women and men whose stories are lost in the official narratives of nation-states, creating a powerful alternative history from the personal and private stories of individuals.</p> <p><b>Svetlana Alexievich</b> was born in the Ukraine in 1948 and grew up in Belarus. As a newspaper journalist, she spent her early career in Minsk compiling first-hand accounts of World War II, the Soviet-Afghan War, the fall of the Berlin Wall and the Chernobyl meltdown. Her unflinching work—‘the whole of our history…is a huge common grave and a bloodbath’—earned her persecution from the Lukashenko regime and she was forced to emigrate. She lived in Paris, Gothenburg and Berlin before returning to Minsk in 2011. She has won a number of prizes, including the National Book Critics Circle Award, the Prix Médicis, and the Oxfam Novib/PEN Award. In 2015, she was awarded the Nobel Prize for Literature.</p> <p><b>Bela Shayevich</b> is a writer, translator and illustrator. Her translations have appeared in journals such as <i>Little Star</i>, <i>St. Petersburg Review</i>, and <i>Calque</i>. She was the editor of <i>n+1</i> magazine’s translations of the Pussy Riot closing statements. Of Alexievich’s writing, she says it is ‘resounding with nothing but the truth’.</p>"
5586087,7728207,Zinky Boys: Soviet Voices from the Afghanistan War,0393336867,9780393336863,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,9,30,,W. W. Norton  Company,false,784630,72,14787,20047,4634,722,5:2268|4:1715|3:565|2:66|1:20|total:4634,1989,,,4.33,1543,216,"['7728207', '33009', '6421571', '6421572']","['Svetlana Alexievich', 'Larry Heinemann', 'Julia Whitby', 'Robin Whitby']","['4.45', '4.12', '4.37', '4.37']",[],[],[],"<strong>Winner of the Nobel Prize:</strong> “For her polyphonic writings, a monument to suffering and courage in our time.” —Swedish Academy, Nobel Prize citation<br /><br />From 1979 to 1989 a million Soviet troops engaged in a devastating war in Afghanistan that claimed 50,000 casualties—and the youth and humanity of many tens of thousands more. Creating controversy and outrage when it was first published in the USSR—it was called by reviewers there a “slanderous piece of fantasy” and part of a “hysterical chorus of malign attacks”—<em>Zinky Boys</em> presents the candid and affecting testimony of the officers and grunts, nurses and prostitutes, mothers, sons, and daughters who describe the war and its lasting effects. What emerges is a story that is shocking in its brutality and revelatory in its similarities to the American experience in Vietnam. The Soviet dead were shipped back in sealed zinc coffins (hence the term “Zinky Boys”), while the state denied the very existence of the conflict. Svetlana Alexievich brings us the truth of the Soviet-Afghan War: the beauty of the country and the savage Army bullying, the killing and the mutilation, the profusion of Western goods, the shame and shattered lives of returned veterans. <em>Zinky Boys</em> offers a unique, harrowing, and unforgettably powerful insight into the harsh realities of war."
17257133,7728207,Ostatni świadkowie. Utwory solowe na głos dziecięcy,8375365149,9788375365146,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358491715l/17257133._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358491715l/17257133._SY75_.jpg,2013,3,20,pol,Czarne,false,51058451,68,11204,15913,3550,625,5:2129|4:1063|3:307|2:44|1:7|total:3550,1985,,,4.48,330,28,['7728207'],['Svetlana Alexievich'],['4.45'],['2965790'],['Jerzy Czech'],['4.35'],"W czasie wielkiej wojny ojczyźnianej zginęły miliony radzieckich dzieci. Rosyjskich, białoruskich, ukraińskich, żydowskich, tatarskich, łotewskich, cygańskich, kozackich, uzbeckich, ormiańskich, tadżyckich. Te, które przeżyły, wojny nie zapomniały nigdy. Dla nich to wspomnienie pierwszego papierosa otrzymanego od Niemca, zapach bzu i czeremchy, zabawa w strzelanie, pierwsze grzyby w lesie, kózka, która miała dawać mleko i zapewnić rodzinie przetrwanie. Ale też sprawy, przed którymi dzieci powinny być chronione – śmierć, cierpienie, brak ojca, okrucieństwo i głód.<br />Swietłana Aleksijewicz po raz kolejny udziela głosu tym, którzy go dotąd nie mieli. Tym, którzy przez lata byli tylko częścią niemego, anonimowego tłumu, tak zwanej ludności cywilnej, w wielkiej historii zawsze mniej ważnej od żołnierzy.<br />Genialna reporterka udowadnia, że bez ich pamięci ciągle nie wiemy, czym jest wojna."
41724607,7728207,"Rock, Paper, Scissors, and Other Stories",,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,65092750,8,982,536,146,36,5:34|4:45|3:55|2:9|1:3|total:146,2019,4,9,3.67,110,25,"['16066579', '3353332', '4541201', '7728207']","['Maxim Osipov', 'Максим Осипов', 'Boris Dralyuk', 'Svetlana Alexievich']","['3.71', '3.70', '4.13', '4.45']","['5825306', '8064317']","['Alexandra Fleming', 'Anne Marie Jackson']","['3.85', '4.01']","<b>The first English-language collection of a contemporary Russian master of the short story.</b><br /><br />Maxim Osipov, who lives and practices medicine in a town ninety miles outside Moscow, is one of Russia's best-regarded writers. In the tradition of Anton Chekhov and William Carlos Williams, he draws on his experiences in medicine to craft stories of great subtlety and striking insight. Rich in compassion but devoid of cheap sentiment, Osipov's fiction presents a nuanced, collage-like portrait of life in provincial Russia—its tragedies, its infinite frustrations, and its moments of humble beauty and inspiration. The twelve stories in this volume depict doctors, actors and actresses, screenwriters, teachers, entrepreneurs, local political bosses, and common criminals, whose paths intersect in unpredictable yet entirely natural ways: in sickrooms, classrooms, administrative offices, on trains, and in the air. Their encounters lead to disasters, major and minor epiphanies, and—on occasion—the promise of redemption. ""Life is scary, whether you're in Moscow, St. Petersburg, or the provinces,"" Osipov's narrator tells us in ""The Cry of the Domestic Fowl,"" which opens the collection. And yet, he concludes, ""[t]he world doesn't break, no matter what you throw at it. That's just how it's built."""
26927251,7728207,"Войната не е с лице на жена / Последните свидетели (Гласовете на утопията, #1-2)",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444326143l/26927251._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444326143l/26927251._SY75_.jpg,1987,9,,bul,Народна култура,false,55931622,3,446,451,96,22,5:75|4:16|3:2|2:3|1:0|total:96,1985,,,4.70,49,7,"['7728207', '943856', '14555558', '17283340']","['Svetlana Alexievich', 'Ales Adamovich', 'Светлана Алексиевич', 'Алес Адамович']","['4.45', '4.40', '4.56', '4.69']",['14224824'],['Елена Кирякова'],['4.61'],"Беларуската писателка и журналистка Светлана Алексиевич е носител на Нобелова награда за литература за 2015 г. Отличието ѝ се присъжда за „полифоничните ѝ творби, които са паметник на страданието и куража в наше време“. Наричат я „археоложка на комунизма“ и „морална памет на сриналата се съветска империя“. В настоящия том са събрани първите две произведения на Алексиевич<br /><br /><b>Първа книга: „Войната не е с лице на жена“ (1983)</b><br />На фронтовете на Великата отечествена война в съветската армия, в партизанските отряди и в нелегалната съпротива воюват повече от 1 милион жени. Те са на възраст между 15 и 30 години и са не само милосърдни сестри и лекари, както е било дотогава. Овладяват всички военни специалности – летци, танкисти, автоматчици, снайперисти, картечари...<br /><br />В първата книга от цикъла ""Великата утопия"" фронтовачките разказват за онази война, за която мъжете не са ни разказвали. Вместо за подвизи, за движение на фронтовете и за военачалници, жените говорят за съвсем друго... За това колко е страшно да убиеш за първи път... или да се върнеш след сражението на бойното поле. Сред телата – всички толкова млади – на мъртви и ранени, разпилени като картофи. И да жалиш за всички – и за немците, и за своите, руските войници...<br /><br /><b>Втора книга: „Последните свидетели“ (1985)</b><br />Руснаци, беларуси, украинци, евреи, татари, латвийци, цигани, казахи, узбеки, арменци, таджики... Милиони съветски деца загиват по време на Великата отечествен война. Затова и те трябва да говорят! Не само политиците, военните, историците... А най-безпомощните, но и най-безпристрастните участници...<br /><br />В своето соло за детски глас Алексиевич събира спомените за войната на онези, които тогава са били 7-12-годишни. Видяна през детските очи, тя е още по-ужасяващо страшна."
17928569,7728207,Urzeczeni śmiercią,8372279012,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368708904l/17928569._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368708904l/17928569._SX50_.jpg,2001,,,pol,Fakty - Grupa Wydawnicza Bertelsmann Media,false,24252887,7,251,275,65,5,5:24|4:33|3:7|2:1|1:0|total:65,1993,,,4.23,17,1,['7728207'],['Svetlana Alexievich'],['4.45'],['5623320'],['Leszek Wołosiuk'],['4.31'],"""Urzeczeni śmiercią"" to wyznania o samobójstwach, jakie nastąpiły po rozpadzie ZSRR. O powodach targnięcia się na życie mówią samobójcy, których zdołano odratować, albo najbliżsi tych, których uratować się nie udało. <br /><br />Samobójstwa starych komunistów można jeszcze zrozumieć, skoro zawaliło się wszystko, w co wierzyli i czemu poświęcili życie. Ale kiedy próbuje skończyć ze sobą kobieta urodzona w łagrze i wychowana w domu dziecka? Ale samobójstwa ludzi młodych, którzy nie widzą dla siebie przyszłości na zgliszczach imperium, oskarżających starsze pokolenie, że przekazano im niewolnictwo we krwi?"
29227291,7728207,On the Battle Lost,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542597770l/29227291._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542597770l/29227291._SY75_.jpg,2015,12,7,eng,Svenska akademien,false,49465309,4,290,263,60,10,5:34|4:16|3:9|2:1|1:0|total:60,2015,,,4.38,28,6,['7728207'],['Svetlana Alexievich'],['4.45'],[],[],[],"Svetlana Alexievich held her Nobel Lecture on 7 December 2015, at the Swedish Academy, Stockholm. She was introduced by Sara Danius, Permanent Secretary of the Swedish Academy. The lecture was delivered in Russian."
37955321,7728207,In Search of the Free Individual: The History of the Russian-Soviet Soul,1501726900,9781501726903,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2018,1,15,,Cornell Global Perspectives,false,59682265,2,198,173,40,3,5:22|4:11|3:5|2:2|1:0|total:40,,,,4.32,14,0,['7728207'],['Svetlana Alexievich'],['4.45'],[],[],[],"""I love life in its living form, life that's found on the street, in human conversations, shouts, and moans."" So begins this speech delivered in Russian at Cornell University by Svetlana Alexievich, winner of the 2015 Nobel Prize in Literature. In poetic language, Alexievich traces the origins of her deeply affecting blend of journalism, oral history, and creative writing.<br /><br />Cornell Global Perspectives is an imprint of Cornell University's Mario Einaudi Center for International Studies. The works examine critical global challenges, often from an interdisciplinary perspective, and are intended for a non-specialist audience. The Distinguished Speaker Series presents edited transcripts of talks delivered at Cornell, both in the original language and in translation."
32813034,7728207,Granta Portugal 8: Medo,,9789896713478,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477863563l/32813034._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477863563l/32813034._SX50_.jpg,2016,10,,por,Tinta da China,false,53413438,1,77,119,32,4,5:4|4:16|3:11|2:1|1:0|total:32,,,,3.72,32,4,"['4419503', '7728207', '3156316', '1340967', '1619968', '46051', '406510', '13529140', '435856', '162851', '896184', '7704489', '6228740', '6436212', '4197695', '5559251']","['Carlos Vaz Marques', 'Svetlana Alexievich', 'Clara Ferreira Alves', 'Ana Luísa Amaral', 'Alexandra Lucas Coelho', 'Rachel Cusk', 'Janine Di Giovanni', 'António Gregório', 'Robert Macfarlane', 'Pedro Rosa Mendes', 'Paulo Moura', 'Rosa Oliveira', 'Gustavo Pacheco', 'Valério Romão', 'Aman Sethi', 'Helena Vasconcelos']","['3.72', '4.45', '3.52', '3.98', '3.78', '3.70', '3.85', '3.64', '4.17', '3.57', '4.34', '3.70', '3.74', '4.01', '3.72', '3.47']",[],[],[],
