id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6334,4280,Never Let Me Go,1400078776,9781400078776,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590l/6334._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590l/6334._SY75_.jpg,2010,8,31,eng,Vintage Books,false,1499998,225,896660,1690785,442459,30080,5:129601|4:161963|3:104953|2:34127|1:11815|total:442459,2005,4,11,3.82,388827,23422,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"From the Booker Prize-winning author of <i>The Remains of the Day</i> and <i>When We Were Orphans</i>, comes an unforgettable edge-of-your-seat mystery that is at once heartbreakingly tender and morally courageous about what it means to be human.<br /><br />Hailsham seems like a pleasant English boarding school, far from the influences of the city. Its students are well tended and supported, trained in art and literature, and become just the sort of people the world wants them to be. But, curiously, they are taught nothing of the outside world and are allowed little contact with it.<br /><br />Within the grounds of Hailsham, Kathy grows from schoolgirl to young woman, but it’s only when she and her friends Ruth and Tommy leave the safe grounds of the school (as they always knew they would) that they realize the full truth of what Hailsham is.<br /><br /><i>Never Let Me Go</i> breaks through the boundaries of the literary novel. It is a gripping mystery, a beautiful love story, and also a scathing critique of human arrogance and a moral examination of how we treat the vulnerable and different in our society. In exploring the themes of memory and the impact of the past, Ishiguro takes on the idea of a possible future to create his most moving and powerful book to date."
28921,4280,The Remains of the Day,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327128714l/28921._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327128714l/28921._SY75_.jpg,2005,,,eng,Faber & Faber,false,3333111,260,390375,777298,188589,13182,5:75777|4:71828|3:31386|2:7345|1:2253|total:188589,1989,,,4.12,152833,8831,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"<i>Librarian's note: See alternate cover edition of ISBN 0571225381 <a href=""https://www.goodreads.com/book/show/39790283-the-remains-of-the-day"" rel=""nofollow"">here</a>.</i><br /><br />In the summer of 1956, Stevens, a long-serving butler at Darlington Hall, decides to take a motoring trip through the West Country. The six-day excursion becomes a journey into the past of Stevens and England, a past that takes in fascism, two world wars, and an unrealised love between the butler and his housekeeper."
22522805,4280,The Buried Giant,030727103X,9780307271037,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451444392l/22522805._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451444392l/22522805._SX50_.jpg,2015,3,,eng,Alfred A. Knopf,false,41115424,2,161425,232408,66362,9185,5:12439|4:22424|3:20302|2:8414|1:2783|total:66362,2015,3,3,3.50,49365,6872,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"""You've long set your heart against it, Axl, I know. But it's time now to think on it anew. There's a journey we must go on, and no more delay...""<br /><br /><i>The Buried Giant</i> begins as a couple set off across a troubled land of mist and rain in the hope of finding a son they have not seen in years.<br /><br />Sometimes savage, often intensely moving, Kazuo Ishiguro's first novel in nearly a decade is about lost memories, love, revenge, and war."
28923,4280,When We Were Orphans,0571225403,9780571225408,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465820100l/28923._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465820100l/28923._SY75_.jpg,2007,12,1,eng,Faber & Faber,false,3333606,111,51847,90197,25826,2482,5:3651|4:9415|3:9373|2:2776|1:611|total:25826,2000,,,3.49,19741,1711,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"An English boy born in early-twentieth-century Shanghai, is orphaned at age nine when his mother and father both vanish under suspicious circumstances. Sent to live in England, he grows up to become a renowned detective and, 20 years later, returns to Shanghai, where the Sino-Japanese War is raging.<br /><br />The maze of human memory--the ways in which we accommodate and alter it, deceive and deliver ourselves with it--is territory that Kazuo Ishiguro has made his own. In his previous novels, he has explored this inner world and its manifestations in the lives of his characters with rare inventiveness and subtlety, shrewd humor and insight. In When We Were Orphans, his first novel in five years, he returns to this terrain in a brilliantly realized story that illuminates the power of one's past to determine the present.<br /><br />Christopher Banks, an English boy born in early-twentieth-century Shanghai, is orphaned at age nine when his mother and father both vanish under suspicious circumstances. Sent to live in England, he grows up to become a renowned detective and, more than twenty years later, returns to Shanghai, where the Sino-Japanese War is raging, to solve the mystery of the disappearances.<br /><br />The story is straightforward. Its telling is remarkable. Christopher's voice is controlled, detailed, and detached, its precision unsurprising in someone who has devoted his life to the examination of details and the rigors of objective thought. But within the layers of his narrative is slowly revealed what he can't, or won't, see: that his memory, despite what he wants to believe, is not unaffected by his childhood tragedies; that his powers of perception, the heralded clarity of his vision, can be blinding as well as enlightening; and that the simplest desires--a child's for his parents, a man's for understanding--may give rise to the most complicated truths.<br /><br />A masterful combination of narrative control and soaring imagination, When We Were Orphans is Kazuo Ishiguro at his best."
28922,4280,An Artist of the Floating World,0571225365,9780571225361,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327786035l/28922._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327786035l/28922._SY75_.jpg,2005,3,3,eng,Faber and Faber,false,2464610,102,48787,80238,21361,1856,5:4225|4:9355|3:6337|2:1238|1:206|total:21361,1986,,,3.76,15848,1182,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"In the face of the misery in his homeland, the artist Masuji Ono was unwilling to devote his art solely to the celebration of physical beauty. Instead, he put his work in the service of the imperialist movement that led Japan into World War II. <br /><br />Now, as the mature Ono struggles through the aftermath of that war, his memories of his youth and of the “floating world”—the nocturnal world of pleasure, entertainment, and drink—offer him both escape and redemption, even as they punish him for betraying his early promise. Indicted by society for its defeat and reviled for his past aesthetics, he relives the passage through his personal history that makes him both a hero and a coward but, above all, a human being."
28920,4280,A Pale View of Hills,0571225373,9780571225378,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,3,3,eng,Faber and Faber,false,1676317,93,36495,68419,18266,1768,5:3698|4:7846|3:5332|2:1159|1:231|total:18266,,,,3.75,13196,1071,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"In his highly acclaimed debut, A Pale View of Hills, Kazuo Ishiguro tells the story of Etsuko, a Japanese woman now living alone in England, dwelling on the recent suicide of her daughter. Retreating into the past, she finds herself reliving one particular hot summer in Nagasaki, when she and her friends struggled to rebuild their lives after the war. But then as she recalls her strange friendship with Sachiko - a wealthy woman reduced to vagrancy - the memories take on a disturbing cast."
4772110,4280,Nocturnes: Five Stories of Music and Nightfall,0307397874,9780307397874,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320430211l/4772110._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320430211l/4772110._SY75_.jpg,2009,5,5,eng,Knopf Canada,false,4836931,100,33272,59824,17288,1859,5:2280|4:5997|3:6736|2:1953|1:322|total:17288,2009,5,5,3.46,12589,1109,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"One of the most celebrated writers of our time gives us his first cycle of short fiction: five brilliantly etched, interconnected stories in which music is a vivid and essential character. <br /><br />A once-popular singer, desperate to make a comeback, turning from the one certainty in his life . . . A man whose unerring taste in music is the only thing his closest friends value in him . . . A struggling singer-songwriter unwittingly involved in the failing marriage of a couple he’s only just met . . . A gifted, underappreciated jazz musician who lets himself believe that plastic surgery will help his career . . . A young cellist whose tutor promises to “unwrap” his talent . . . <br /><br />Passion or necessity—or the often uneasy combination of the two—determines the place of music in each of these lives. And, in one way or another, music delivers each of them to a moment of reckoning: sometimes comic, sometimes tragic, sometimes just eluding their grasp. <br /><br />An exploration of love, need, and the ineluctable force of the past, Nocturnes reveals these individuals to us with extraordinary precision and subtlety, and with the arresting psychological and emotional detail that has marked all of Kazuo Ishiguro’s acclaimed works of fiction."
40117,4280,The Unconsoled,057122539X,9780571225392,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342193138l/40117._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342193138l/40117._SY75_.jpg,1995,,,eng,Faber and Faber,false,6372970,84,27269,35281,9960,1267,5:2519|4:2980|3:2529|2:1247|1:685|total:9960,1995,,,3.54,7689,857,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"Ryder, a renowned pianist, arrives in a Central European city he cannot identify for a concert he cannot remember agreeing to give. But then as he traverses a landscape by turns eerie and comical – and always strangely malleable, as a dream might be - he comes steadily to realise he is facing the most crucial performance of his life.<br /><br />Ishiguro's extraordinary and original study of a man whose life has accelerated beyond his control was met on publication by consternation, vilification – and the highest praise."
36655283,4280,My Twentieth Century Evening and Other Small Breakthroughs: The Nobel Lecture,0571346553,9780571346554,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512819752l/36655283._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512819752l/36655283._SY75_.jpg,2017,12,8,eng,Faber & Faber,true,58429667,17,1979,3059,730,96,5:298|4:287|3:131|2:14|1:0|total:730,2017,12,11,4.19,400,52,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"Delivered in Stockholm on 7 December 2017, <i>My Twentieth Century Evening and Other Small Breakthroughs</i> is the lecture of the Nobel Laureate in Literature, Kazuo Ishiguro. A generous and hugely insightful biographical sketch, it explores his relationship with Japan, reflections on his own novels and an insight into some of his inspirations, from the worlds of writing, music and film. Ending with a rallying call for the ongoing importance of literature in the world, it is a characteristically thoughtful and moving piece."
41713587,4280,Come Rain or Come Shine,0571351743,9780571351749,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546495046l/41713587._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546495046l/41713587._SX50_.jpg,2019,1,3,eng,Faber & Faber,false,65061360,3,3752,2959,809,96,5:149|4:332|3:244|2:70|1:14|total:809,2019,1,3,3.66,752,91,['4280'],['Kazuo Ishiguro'],['3.84'],[],[],[],"Faber Stories, a landmark series of individual volumes, presents masters of the short story form at work in a range of genres and styles.<br /><br />When Ray turns up to visit his old university friends Charlie and Emily, he's given a special task: to be so much his useless self that he makes Charlie look good by comparison.<br /><br />But Ray has his own buried feelings to contend with. Decades earlier, he and Emily would listen to jazz when they were alone, and now, as Sarah Vaughan sings through the speakers, he struggles to control everything the sound brings with it.<br /><br />In Kazuo Ishiguro's hands, a snapshot of domestic realism becomes a miniature masterpiece of memory and forgetting.<br /><br />Bringing together past, present and future in our ninetieth year, Faber Stories is a celebratory compendium of collectable work."
151218,4280,لاتاری، چخوف و داستانهای دیگر,,9789643057336,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474953380l/151218._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474953380l/151218._SY75_.jpg,2010,6,,per,نشر مرکز,false,23856258,3,920,1991,526,40,5:127|4:210|3:148|2:31|1:10|total:526,2007,1,1,3.79,384,33,"['13388', '7363', '4280', '230375', '6878', '6746', '7371']","['Shirley Jackson', 'Raymond Carver', 'Kazuo Ishiguro', 'Ann Taylor', 'John Updike', 'Ann Beattie', 'Tobias Wolff']","['3.95', '4.20', '3.84', '3.67', '3.80', '3.63', '3.94']",['812080'],['جعفر مدرس صادقی'],['3.54'],
