id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
11583651,41495,رستاخیز,,9789648263343,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460303286l/11583651._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460303286l/11583651._SY75_.jpg,2008,,,per,دنیای نو,false,1491227,227,46013,67525,16330,1011,5:6828|4:5896|3:2758|2:679|1:169|total:16330,1899,,,4.14,99,13,['128382'],['Leo Tolstoy'],['4.06'],['2532316'],['محمد مجلسی'],['3.65'],"تولستوی در هفتاد سالگی رستاخیز را می‌نویسد. عصاره و عقاید و افکارش را در رمان رستاخیز می‌ریزد. روی سخن او تنها با مردم روسیه نیست، با انسان حرف می‌زند، به بشریت پیام می‌دهد. تولستوی در این‌جا پیامبری است که مرز نمی‌شناسد. تولستوی پیامبر، تولستوی عصیانگر، تولستوی وسوسه‌گر دست به یکدیگر می‌دهند و رستاخیز را می‌آفرینند. رستاخیز در دوره‌ای متولد می‌شود که تولستوی به پایان یک عمر اندیشه و تجربه‌ی خود نزدیک شده و به کمال پختگی رسیده است. آفرینش هنری او در این کتاب در منتهای قدرت خویش است ولی نکته این‌جاست که رستاخیز به سرزمین تازه‌ای در دنیای ادب راه یافته است. تولستوی در یادداشت‌های ۲۳ مارس ۱۸۹۴ خود می‌نویسد: "" یک اثر هنری باید پخش و پراکنده شود، به همه سرایت کند و همه را با خود همراه سازد."" همه‌گیر شدن و در همه اثر گذاشتن و همه را به دنبال کشیدن، از مشخصات این کتاب است؛"
684056,41495,رستاخیز,9648263345,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1280008903l/684056.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1280008903l/684056._SX50_.jpg,2006,,,per,نشر دنیای نو، 1385,false,1491227,227,46013,67525,16330,1011,5:6828|4:5896|3:2758|2:679|1:169|total:16330,1899,,,4.14,59,5,"['128382', '2532316']","['Leo Tolstoy', 'محمد مجلسی']","['4.06', '3.65']",[],[],[],جوانی اصیل زاده و اشرافی، عاشق ندیمه زیبا و جوان عمه هایش میشود و دامن وی را لکه دار میکند. ندیمه جوان به عالم فساد و فحشا سقوط میکند و سالهای متمادی برای تأمین معاش خود، به خودفروشی میپردازد تا اینکه قتلی صورت میگیرد و ندیمه معصوم به عنوان متهم درجه اول در دادگاه حاضر میشود. جوان اصیل زاده که ده سال قبل دامن دختر جوان را لکه دار کرده، جزو هیأت منصفه است. جوان اصیل زاده وقتی در دادگاه زن جوان را ملاقات و از سرنوشت شوم و دردناک زن جوان آگاه میشود، میفهمد که به دلیل یک لحظه کامجویی او چگونه دختر بیگناهی به مغاک انحطاط و تیرگی سقوط کرده، او برای جبران گناه خود به پا میخیزد ولی آیا میتواند آب رفته را دوباره به جوی بازگرداند و سعادت از دست رفته دختر جوان و نگونبخت را به او بازگرداند...ا
1499822,41495,رستاخیز,,9789643157005,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537473349l/1499822._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537473349l/1499822._SY75_.jpg,,,,per,توس,false,1491227,227,46013,67525,16330,1011,5:6828|4:5896|3:2758|2:679|1:169|total:16330,1899,,,4.14,25,5,"['128382', '7849125']","['Leo Tolstoy', 'اسکندر ذبیحیان']","['4.06', '3.63']",[],[],[],آخرین رمان رئالیستی تاللفستوی که شاهکار دیگری از هنر ادبی او محسوب می‌شود و تألیف آن در سال ۱۸۸۹ آغاز و در ۱۷ دسامبر ۱۸۹۹ به پایان رسیده است، رستاخیز نام دارد . کار تألیف این رمان ده سال طول کشیده است.<br />تالستوی در این رمان نقایص و پلیدی‌های اجتماعی آن روز را که زندگیش بر پایه ظلم و بی‌عدالتی و ریاکاری استوار بوده، بر ملا می‌سازد. در این رمان خواننده با دو نوع رستاخیز روبه‌‌رو می‌شود: یکی رستاخیزی که در وجود اشرافزاده‌ای پشیمان از کردار گذشته‌ی خویش ظاهر می‌گردد، یکی هم رستاخیزی که وجود زنی فریب خورده پس از رسیدن به حد کمال معنوی پدید می‌آید.<br />لف تالستوی بزرگترین رمان‌نویس واقع‌گرای روسیه در خانواده‌ای اشرافی به دنیا آمد. او خود مالکی بزرگ بود. اما به مبارزه با بی‌دادگری‌ها و ستم‌کاری‌های طبقه خود پرداخت. او دربارۀ بی‌عدالتی زندگی افراد، حقیقت بی‌رحمانه‌ای آشکار کرد که تمام دنیا را تکان داد. هیچ یک از آثار تولستوی از حیث ژرف‌نگری و تجزیه و تحلیل روح بی‌دادگری و ستم کشیدگی انسان به پای رستاخیز نمی‌رسد.
50429139,41495,رستاخیز,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578922514l/50429139._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578922514l/50429139._SX50_.jpg,2019,,,per,نیلوفر,false,1491227,227,46013,67525,16330,1011,5:6828|4:5896|3:2758|2:679|1:169|total:16330,1899,,,4.14,0,0,['128382'],['Leo Tolstoy'],['4.06'],['966015'],['سروش حبیبی'],['4.00'],"Il principe Nechljudov riconosce nella prostituta Ljubaša, accusata in un processo per omicidio, la contadina Katjuša Maslova, che egli aveva sedotto dieci anni prima, provocandone la rovina. Oppresso dai sensi di colpa, si adopera per salvare la donna e, con lei, la propria anima. Da un «affare giudiziario» realmente avvenuto prende spunto l’ultimo grande romanzo di Tolstoj, che è soprattutto una riflessione sull’ineluttabilità del male, sull’ingiustizia universale della sofferenza, alla quale l’uomo può opporre solo la prospettiva di un riscatto individuale, come quello che troveranno, ciascuno a modo proprio, Katjuša e Nechljudov."
34398518,41495,رستاخیز,,9786007987032,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488119950l/34398518._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488119950l/34398518._SX50_.jpg,2016,5,10,per,به‌سخن,false,1491227,227,46013,67525,16330,1011,5:6828|4:5896|3:2758|2:679|1:169|total:16330,1899,,,4.14,3,0,['128382'],['Leo Tolstoy'],['4.06'],['1350233'],['پرویز شهدی'],['3.67'],رستاخیز حماسه‌ایست از بیدار شدن وجدان آگاه عضوی از جامعه که خطایش بی‌جریمه و جرمش بی‌مجازات مانده است، جرمی که سرنوشت دختر بی‌گناهی را رقم می‌زند و او را به منجلاب فساد و گمراهی سوق می‌دهد و بعد هم به سیبری و محکومیت به اعمال شاقه. این کتاب، آینۀ تمام نمای سراسر زندگی تولستوی است. قهرمان داستان خود وی است و اگرچه ماجرایی را که هستۀ اصلی کتاب را تشکیل می‌دهد، دوستش که جزو هیأت منصفه‌ی دادگاه‌های پترزبورگ است برایش تعریف کرده: «در ژوئن ۱۸۷۷ زن خودفروشی به‌ نام روزالی در پترزبورگ محاکمه و به‌ناحق برای جرمی که مرتکب نشده محکوم می‌شود. یکی از اعضای هیأت منصفه که درگذشته او را فریفته، بازش می‌شناسد و بر اثر یک سهل‌انگاری و حتا سوءتفاهم میان اعضای هیأت منصفه، به‌زندان با اعمال شاقه محکوم می‌شود.» «رستاخیز» اثری است که اگر اهمیتش بیش‌تر از «جنگ و صلح» و «آناکارنینا» نباشد، دست‌کمی هم از آن‌ها ندارد، منتها در زمینه‌ای کاملاً متفاوت با آن دو؛
3296184,41495,آموک همراه با نامه از زنی ناشناس,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524557856l/3296184._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524557856l/3296184._SY75_.jpg,1985,,,per,توس,false,3603679,133,12401,26172,6299,314,5:2491|4:2552|3:1039|2:175|1:42|total:6299,1922,,,4.15,22,5,"['25573', '5689681']","['Stefan Zweig', 'جواد شيخ الاسلامی']","['4.15', '4.22']",[],[],[],"A doctor torn between his medical duty to help and his own mixed emotions; a middle-aged maidservant whose devotion to her master leads her to commit a terrible act; a hotel waiter whose love for an unapproachable aristocratic beauty culminates in an almost lyrical death; and a First World War POW longing to be home again in Russia. In these four stories, Stefan Zweig shows his gift for the acute analysis of emotional dilemmas."
34439736,41495,آموک همراه با نامه از زنی ناشناس,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488369785l/34439736._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488369785l/34439736._SX50_.jpg,1985,,,per,انتشارات توس,false,3603679,133,12401,26172,6299,314,5:2491|4:2552|3:1039|2:175|1:42|total:6299,1922,,,4.15,6,1,['25573'],['Stefan Zweig'],['4.15'],['15864622'],['جواد شیخ\u200cالاسلامی'],['4.19'],"A doctor torn between his medical duty to help and his own mixed emotions; a middle-aged maidservant whose devotion to her master leads her to commit a terrible act; a hotel waiter whose love for an unapproachable aristocratic beauty culminates in an almost lyrical death; and a First World War POW longing to be home again in Russia. In these four stories, Stefan Zweig shows his gift for the acute analysis of emotional dilemmas."
43392538,41495,پی یر و لوسی,,9789647443869,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546104100l/43392538._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546104100l/43392538._SY75_.jpg,111,,,per,نشرنو,false,414962,68,5639,13794,3798,207,5:836|4:1358|3:1100|2:378|1:126|total:3798,1920,,,3.63,36,15,"['41495', '752060']","['Romain Rolland', 'مینو مشیری']","['3.86', '4.01']",[],[],[],"Paris, 1918: Amidst the cries of fanatic patriots bent on war, a tender relationship slowly develops between two young Parisians, beginning with a first shy encounter and growing into a passionate love that in the end falls victim to the psychological and physical destruction all around them. --- The great French writer Romain Rolland (1866-1944, winner of the Nobel Prize in Literature 1915) wrote his famous tragic love story ""Pierre and Luce"" at the end of World War I. Its protagonists recall the lovers of classical antiquity as well as those of the Middle Ages."
26452443,41495,جزیره ای در طوفان  - پی یر و لوسی,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442133137l/26452443._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442133137l/26452443._SX50_.jpg,1984,,,per,تهران، انتشارات مزدک؛ 1363,false,414962,68,5639,13794,3798,207,5:836|4:1358|3:1100|2:378|1:126|total:3798,1920,,,3.63,13,6,"['41495', '14316746']","['Romain Rolland', 'سیروس سعیدی']","['3.86', '3.15']",[],[],[],"Pierre and Luce, Romain Rolland<br />عنوان: جزیره ای در طوفان (پی یر و لوسی)؛ نویسنده: رومن رولان؛ مترجم: سیروس سعیدی؛ تهران، انتشارات مزدک؛ 1363، در 131 ص"
26452252,41495,پی یر و لوسی,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442132339l/26452252._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442132339l/26452252._SY75_.jpg,2014,,,per,تهران، فرهنگ نشر نو، 1393,false,414962,68,5639,13794,3798,207,5:836|4:1358|3:1100|2:378|1:126|total:3798,1920,,,3.63,6,1,"['41495', '752060']","['Romain Rolland', 'مینو مشیری']","['3.86', '4.01']",[],[],[],"Pierre and Luce, Romain Rolland<br />عنوان: پی یر و لوسی؛ نویسنده: رومن رولان؛ مترجم: مینو مشیری؛ مشخصات نشر: تهران، فرهنگ نشر نو، 1393، در 105 ص؛ شابک: 9789647443869؛ موضوع: ادبیات داستانی"
