id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
18169076,48535,پاشنه آهنین,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373267077l/18169076._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373267077l/18169076._SY75_.jpg,1952,,,per,انتشارات کتاب,false,951056,879,25709,29610,7877,607,5:2238|4:2652|3:2082|2:661|1:244|total:7877,1908,,,3.76,11,1,"['1240', '7163698']","['Jack London', 'م. صبحدم']","['3.96', '3.91']",[],[],[],"A dystopian novel about the terrible oppressions of an American oligarchy at the beginning of the Twentieth Century, and the struggles of a socialist revolutionary movement."
8511257,48535,خدایان تشنه‌اند,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529844131l/8511257._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529844131l/8511257._SY75_.jpg,1966,1,,per,امیرکبیر، کتابهای جیبی,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,42,6,['48535'],['Anatole France'],['3.90'],['7144191'],['کاظم عمادی'],['3.48'],
37927283,48535,خدایان تشنه اند,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515866448l/37927283._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515866448l/37927283._SX50_.jpg,1984,,,per,جامی,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,11,4,['48535'],['Anatole France'],['3.90'],['7144191'],['کاظم عمادی'],['3.48'],دو نوول مهمی که فرانس در اوایل نویسندگی با هم منتشر کرد، به نام «ژوکاست» و «گربه لاغر»، به اهمیت آثار بعدی او نیست. اما نبوغ خداداد وی در نخستین شاهکار او به نام«گناه سیلوستر بونار»به حد کمال ظاهر گشت و این اثر استاد به عنوان نمونه نثر فصیح و موزون شناخته شد... ». فرانس به همه‌چیز با شک و تردید می‌نگرد؛ اخلاق، علم، عدالت، حقیقت، و حتی علوم و ریاضی. دو خاصیت برجسته‌ای که در همه آثار او جلب نظر می‌کند حس تمسخر و استهزا و حس ترحم و عاطفه اوست...<br /><br />رمانی مهیب و تکان دهنده ، درباره برخی وقایع بعد ازانقلاب فرانسه میباشد، که در سال ۱۹۱۲ منتشر شده‌است. این رمان سرگذشت انقلابیونی را روایت میکند که پس از رسیدن به قدرت خویی حیوانی به خود میگیرند و به نام آزادی دست به هر جنایتی میزنند.<br /><br />محور این رمان ، به ماجرای یکی از انقلابیون فرانسوی یا به اصطلاح : یک هم‌شهری پاک پاریسی ، به نام «اواریست گاملن» اختصاص دارد که پس از عضویت در هیأت منصفه دادگاه انقلاب دگردیسی یافته و به موجودی سفاک و خونخوار تبدیل میشود تا جائیکه حتی از صدور حکم اعدام برای خواهرش نیز إبایی ندارد.<br /><br />بدین ترتیب در این رمان با دست‌مایه قرار دادن داستان مذکور بخشی از تاریخ انقلاب کبیر فرانسه روایت میشود. انقلابی که هر روز بیشتر از روزهای قبل فرزندان خود را بلعید، حتی سران اصلی انقلاب همچون دانتون و روبسپیر از این قاعده مستثنی نبودند ...
2239661,48535,خ‍دای‍ان‌ ت‍ش‍ن‍ه‌ان‍د,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529847600l/2239661._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529847600l/2239661._SY75_.jpg,1984,,,per,سرو,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,13,2,['48535'],['Anatole France'],['3.90'],['1938044'],['محمدتقی غیاثی'],['3.51'],رمانی مهیب و تکان دهنده، اثر آناتول فرانس دربارهٔ برخی وقایع بعد ازانقلاب فرانسه می‌باشد، که در سال ۱۹۱۲ منتشر شده‌است. این رمان سرگذشت انقلابیونی را روایت می‌کند که پس از رسیدن به قدرت خویی حیوانی به خود می‌گیرند و به نام آزادی دست به هر جنایتی می‌زنند<br /><br />محور این رمان، به ماجرای یکی از انقلابیون فرانسوی یا به اصطلاح : یک هم‌شهری پاک پاریسی، به نام «اواریست گاملن» اختصاص دارد که پس از عضویت در هیأت منصفهٔ دادگاه انقلاب دگردیسی یافته و به موجودی سفاک و خونخوار تبدیل می‌شود تا جائیکه حتی از صدور حکم اعدام برای خواهرش نیز إبایی ندارد. بدین ترتیب در این رمان با دست‌مایه قرار دادن داستان مذکور بخشی از تاریخ انقلاب کبیر فرانسه روایت می‌شود. انقلابی که هر روز بیشتر از روزهای قبل فرزندان خود را بلعید، حتی سران اصلی انقلاب همچون دانتون و روبسپیر از این قاعده مستثنی نبودند
34427270,48535,خدایان تشنه‌اند,,9786001216497,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488272163l/34427270._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488272163l/34427270._SY75_.jpg,2015,8,,per,علمی و فرهنگی,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,5,3,['48535'],['Anatole France'],['3.90'],['7144191'],['کاظم عمادی'],['3.48'],این کتاب رمانی مهیب و تکان‌دهنده، اثر آناتول فرانس درباره برخی وقایع بعد ازانقلاب فرانسه می‌باشد. این رمان سرگذشت انقلابیونی را روایت می‌کند که پس از رسیدن به قدرت خویی حیوانی به خود می‌گیرند و به نام آزادی دست به هر جنایتی می‌زنند؛<br /><br />محور این رمان، به ماجرای یکی از انقلابیون فرانسوی یا به اصطلاح: یک هم‌شهری پاک پاریسی، به نام «اواریست گاملن» اختصاص دارد که پس از عضویت در هیأت منصفه دادگاه انقلاب دگردیسی یافته و به موجودی سفاک و خونخوار تبدیل می‌شود تا جایی که حتی از صدور حکم اعدام برای خواهرش نیز ابایی ندارد. بدین ترتیب در این رمان با دست‌مایه قرار دادن داستان مذکور بخشی از تاریخ انقلاب کبیر فرانسه روایت می‌شود. انقلابی که هر روز بیشتر از روزهای قبل فرزندان خود را بلعید، حتی سران اصلی انقلاب هم‌چون دانتون و روبسپیر از این قاعده مستثنی نبودند؛
28184022,48535,خدایان تشنه‌اند,9640014699,9789640014691,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518378869l/28184022._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518378869l/28184022._SY75_.jpg,2016,10,15,per,امیرکبیر,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,5,2,['48535'],['Anatole France'],['3.90'],['7144191'],['کاظم عمادی'],['3.48'],خدایان تشنه‌اند کنایه از جنونی است که خدایان انقلاب و ارتجاع فرانسه را تشنه‌ی خون‌ریزی کرده بود. آناتول فرانس در این رمان با سبک شیوا و طنزآمیز خود و با هزاران باریک‌بینی می‌خواهد نشان دهد که مردم در زمان بحران‌های سیاسی و اجتماعی از عظمت تاریخ غفلت می‌ورزند
34511272,48535,خدایان تشنه‌اند,,9786006182575,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488977446l/34511272._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488977446l/34511272._SX50_.jpg,2015,,,per,فرهنگ جاوید,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,2,0,['48535'],['Anatole France'],['3.90'],['1938044'],['محمدتقی غیاثی'],['3.51'],خدایان تشنه‌اند آکنده از جنونی است که خدایان انقلاب و ارتجاع فرانسه را تشنه خون‌ریزی کرده بود. آناتول فرانس در این رمان با سبک شیوا و طنزآمیز خود و با هزاران باریک‌بینی می‌خواهد نشان دهد که مردم در زمان بحران‌های سیاسی و اجتماعی از عظمت تاریخ غفلت می‌ورزند؛
50427803,48535,خدایان تشنه‌اند,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578920839l/50427803._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578920839l/50427803._SY75_.jpg,,,,per,فرهنگ جاوید,false,2069122,208,6453,7200,1924,157,5:477|4:701|3:549|2:167|1:30|total:1924,1912,,,3.74,0,0,['48535'],['Anatole France'],['3.90'],['1938044'],['محمدتقی غیاثی'],['3.51'],
7518663,48535,جزیره پنگوئن ها,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506545844l/7518663._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506545844l/7518663._SY75_.jpg,1953,,,per,امیرکبیر,false,1875406,30,3777,5223,1430,166,5:350|4:476|3:418|2:129|1:57|total:1430,1908,,,3.65,39,11,['48535'],['Anatole France'],['3.90'],['1469249'],['محمد قاضی'],['3.85'],جزیره پنگوئن‌ها (L’Île des pingouins) نام یک رمان طنز و یکی از بهترین آثار آناتول فرانس نویسنده فرانسوی است. این کتاب نخستین بار در سال ۱۹۰۸ میلادی منتشر شد<br />جزیره پنگوئن‌ها، روایتی از روح تاریخ حیات بشریت است، این داستان اگرچه تاریخی از قوم خیالی پنگوئن را به تصویر کشیده است ولی در حقیقت امر تاریخ قوم خاصی نیست و ما سرنوشت بسیاری از اقوام و تمدنهای گذشته و جدید را در آن می‌یابیم. مادی‌گرایی تاریخی که تاریخ را بسان موجودی زنده‌ای در نظریات و افکار خود معرفی می‌کند، خمیرمایه و محرک اصلی اندیشه‌های پراکنده نویسنده را تشکیل می‌دهد و انتقادات و اعتراضات او به نظم اجتماعی نوین و حوادث تلخ زندگی بشریت را سازماندهی و گردآوری می‌کند و سامان می‌بخشد. موجودی زنده که اراده اش در بسیاری از موارد و شرایط بر بشریتی که در ظاهر سازنده و خالق اوست برتری دارد و خدایی سنگدل که ارابه‌های پیروزی خود را از روی جسد مردان و زنانی که بر علیه اش قد علم می‌کنند به پیش می‌راند، خدایی که در نوشته‌های هگل و انگلس پا بر عرصه وجود نهاد و در گفتارها مارکس صفات ثبوتیه و سلبیه خود را به جهانیان شناساند. حوادث تلخ و شیرین گیتی تنها کالبد این موجود غول‌پیکر را تشکیل می‌دهند، اما روح آن به باور متفکران مادی‌گرایی، مجموعه علتهای حقیقی و پیوندهای نا آشکاری است که اساس پیشامدهای روزگار را تشکیل می‌دهد وآناتول فرانس به کالبد شکافی آن اقدام کرده و نتایج آن را در طراحی و به تصویر کشیدن زندگی قوم پنگوئن مورد استفاده قرار داده است. به همین دلیل در کتاب حاضر از پیگیری جنگ‌ها و برخورد تمدنها ونبرد اقوام گذشته وکهن (آنچنانکه مرسوم کتابهای تاریخی است) خودداری گشته ودرمقابل مجموعه‌ای از حوادث مشترک تاریخ بشریت از عهد پاران سنگی (که نماد آن پنگوئنهای قطبی هستند) تا دوران مدرنیسم و انقلاب صنعتی همچون رودی روان به نمایش درآمده وتک تک پیچ وتاب‌های این رودخانه طویل را در مقابل خواننده قرار داده است. با کپی برداشتن از منابع تاریخی ومطالعات تحقیقاتی صرف، نمی‌توان به روح تاریخ دست یافت بلکه تنها لاشه آن است که دراین منابع دردسترس محققان قرار می‌گیرد، فرانس خود در نقد این دید غالب در میان محققان و تاریخ نویسان آنها را به منتقدین موسیقی و نقادان هنرهای زیبایی تشبیه کرده که کروکورهستند!! و در عین حال مجموعه کاملی از تئوریها ومدارک جمال‌شناسی را در اختیار دارند. داستان از معبدی مقدس آغاز می‌شود، جایی که بسیاری از مردان بزرگ و قدیسان نامدار را درخود پرورش داده است و اینکه یکی از همین مردان اله ی(سن مائل کشیش) مدیریت آن را بر عهده دارد
36073121,48535,جزیره پنگوئن‌ها,,9789640018316,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503210065l/36073121._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503210065l/36073121._SY75_.jpg,2017,,,per,امیرکبیر,false,1875406,30,3777,5223,1430,166,5:350|4:476|3:418|2:129|1:57|total:1430,1908,,,3.65,5,2,['48535'],['Anatole France'],['3.90'],['1469249'],['محمد قاضی'],['3.85'],اين كتاب دايره‌المعارف جالبی است از انواع خصايص آدميان و فراز و نشيب روح آنان كه سرچشمه حوادث تاريخ است و اگر چه تاريخ است، تاريخ قوم خاصی نيست، بلكه روح راستين تاريخ بشر است. آناتول فرانس به دور از لفاظی‌های بی‌ارزش به جست‌وجوی «روح تاريخ» پرداخته تا كليد جاودانگی را در اختيار جوامع بشری قرار دهد و همين موضوع را با بيانی طنزآميز نشان داده است. تاريخی كه او نوشته تاريخ هر قومی است، اما تاريخ هيچ قومی نيست و علاوه بر تاريخ، سراپا انتقاد است و هر چند كه مواردی از آن به تاريخ فرانسه باز می‌گردد، اما برای همه ملت‌ها قابل تطبيق است. ايمان در زندگانی بشر متمدن روزبه‌روز سست‌تر می‌شود و آناتول فرانس هم با خلقت شيطان خود همين امر را اثبات می‌كند، چرا كه شيطان سكان زندگی آدميان را به دست می‌گيرد و... ؛
6663176,48535,تائیس,9647468466,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413009605l/6663176._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413009605l/6663176._SX50_.jpg,2004,,,per,انتشارات جامی,false,956862,179,3554,4265,1165,154,5:286|4:383|3:347|2:113|1:36|total:1165,1890,,,3.66,10,2,"['48535', '3002722']","['Anatole France', 'ارژنگ خرسندی']","['3.90', '3.10']",[],[],[],"Thaïs is a novel by Anatole France published in 1890. It's based on events in the life of Saint Thaïs of Egypt, a legendary convert to Christianity who's said to have lived in the 4th century. It was the inspiration for the opera of the same name by Jules Massenet.<br />""In those days the hermits of the desert lived in huts on the banks of the Nile, where they lived abstemious lives, taking no food till after sunset, &amp; eating nothing but bread with a little salt &amp; hyssop. They lived in temperance &amp; chastity; they wore a hair shirt &amp; a hood, slept on the bare ground after long watching, prayed, sang psalms, &amp;, in short, spent their days in works of penitence. As an atonement for original sin, they refused their body not only all pleasures &amp; satisfactions, but even that care &amp; attention which in this age are deemed indispensable. They believed that the diseases of our members purify our souls, &amp; the flesh could put on no adornment more glorious than wounds &amp; ulcers. It was a good &amp; virtuous life. It was also fairly smelly. One day a desert hermit named Paphnutius was recalling the hours he had lived apart from God, &amp; examining his sins one by one, that he might the better ponder on their enormity, he remembered that he'd seen at the theatre at Alexandria a very beautiful actress named Thaïs. Repenting his bothood lust for her, he saw he countenance weeping, &amp; resolved that the courtesan must necessarily be brought to salvation. It was a terrible mistake, &amp; one that still haunts us all.""<br /> THAÏS a dryly tongue-in-cheek novel of spiritual enormity from Anatole France, winner of the Nobel Price for Literature."
