id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
25472142,5835922,بچه های محله ما,9648097615,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430640897l/25472142._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430640897l/25472142._SX50_.jpg,2006,,,per,تهران، دادار، 1385,false,14413597,53,58856,90788,22138,2606,5:10031|4:6964|3:3232|2:1170|1:741|total:22138,1959,,,4.10,12,5,"['5835922', '967540']","['Naguib Mahfouz', 'حیدر شجاعی']","['3.94', '3.34']",[],[],[],"أولاد حارتنا, Naguib Mahfouz<br />عنوان: بچه های محله ما؛ نوشته: نجیب محفوظ؛ مترجم: حیدر شجاعی؛ مشخصات نشر: تهران، دادار، 1385، در 248 ص؛ شابک: 9648097615؛ موضوع: داستانهای نویسندگان عرب مصر قرن 20 م"
23122604,5835922,کوچهٔ مدق,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409310638l/23122604._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409310638l/23122604._SX50_.jpg,,,,per,نشر فرهنگ و اندیشه,false,1679431,74,18033,33725,8761,903,5:2262|4:3640|3:2266|2:464|1:129|total:8761,1947,,,3.85,16,3,"['5835922', '15139568', '5835922']","['Naguib Mahfouz', 'محمدرضا مرعشی\u200cپور', 'Naguib Mahfouz']","['3.94', '3.73', '3.94']",[],[],[],رواية
6870841,5835922,دزد و سگ‌ها,9643112713,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446310008l/6870841._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446310008l/6870841._SY75_.jpg,2001,,,per,ققنوس,false,791896,45,13763,25694,7069,778,5:1394|4:2648|3:2248|2:609|1:170|total:7069,1961,,,3.63,23,3,"['5835922', '5835922']","['Naguib Mahfouz', 'Naguib Mahfouz']","['3.94', '3.94']",['14586760'],['بهمن رازانی'],['3.88'],منتقدان‌ ادبی‌ دنیای‌ عرب‌ رمان‌ دزد و سگ‌ها را نقطه‌ عطف‌ داستان‌نویسی‌ معاصر عرب‌ نام‌ داده‌اند. این‌ کتاب‌، در مقام‌ قیاس‌ با دیگر نوشته‌های‌ نجیب‌ محفوظ‌، حجم‌ کم‌تری‌ دارد، اما به‌ خوبی‌ نشان‌دهنده‌ دانایی‌ و آگاهی‌ فراوان‌ نویسنده‌ در مورد اصول‌ و تکنیک‌های‌ داستان‌نویسی‌ است‌. داستان‌ با حرکتی‌ سریع‌ ـ چون‌ تولدی‌ ـ آغاز می‌شود. هر عبارت‌ داستان‌ آگاهی‌ تازه‌ای‌ است‌ که‌ در اختیار خواننده‌ قرار می‌گیرد. هر واقعه‌، هر حادثه‌ و هر برخورد کوچک‌ وسیله‌ای‌ دقیق‌ و بهنجار شمرده‌ می‌شود تا نویسنده‌ قلم‌ موشکاف‌ خویش‌ را در بخش‌ آگاه‌ یا ناخودآگاه‌ ضمیر قهرمان‌ داستان‌ به‌ کار اندازد. پرداخت‌ شخصیت‌ها در دزد و سگ‌ها دقیق‌، علمی‌ و عملی‌ است‌ و هیچ‌ حادثه‌ و واقعه‌ای‌ بی‌اسباب‌ و عللی‌ که‌ در ورایش‌ است‌، اتفاِ نمی‌افتد.
2926318,5835922,دزد و سگها,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,per,,false,791896,45,13763,25694,7069,778,5:1394|4:2648|3:2248|2:609|1:170|total:7069,1961,,,3.63,15,0,"['5835922', '5835922']","['Naguib Mahfouz', 'Naguib Mahfouz']","['3.94', '3.94']",[],[],[],"Naguib Mahfouz's haunting novella of post-revolutionary Egypt combines a vivid pychological portrait of an anguished man with the suspense and rapid pace of a detective story.<br /><br />After four years in prison, the skilled young thief Said Mahran emerges bent on revenge. He finds a world that has changed in more ways than one. Egypt has undergone a revolution and, on a more personal level, his beloved wife and his trusted henchman, who conspired to betray him to the police, are now married to each other and are keeping his six-year-old daughter from him. But in the most bitter betrayal, his mentor, Rauf Ilwan, once a firebrand revolutionary who convinced Said that stealing from the rich in a unjust society is an act of justice, is now himself a rich man, a respected newspaper editor who wants nothing to do with the disgraced Said. As Said's wild attempts to achieve his idea of justice badly misfire, he becomes a hunted man so driven by hatred that he can only recognize too late his last chance at redemption."
20512421,5835922,هزار و یک شب- دنباله‌ی داستان شهرزاد قصه‌گو,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505464758l/20512421._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505464758l/20512421._SX50_.jpg,,,,per,انتشارات مروارید,false,8919,28,17879,25508,6223,829,5:2598|4:2175|3:1044|2:280|1:126|total:6223,1980,1,1,4.10,28,3,"['5835922', '5835922', '1152859']","['Naguib Mahfouz', 'Naguib Mahfouz', 'عبدالرضا هوشنگ مهدوی']","['3.94', '3.94', '3.92']",[],[],[],ليالي ألف ليلة وليلة معاصرة... ومملكة شهريار مدائن معاني تضج في خيال نجيب محفوظ... وشهرزاد رمزاً ينسحب... يتسلل من الماضي كاسم ليكون شهرزادات وليكون شهريار شهريارات ولتأتي الحكاية حكاية كل زمان وكل مكان... تحدث بالقهر... بالتسلط والمعاناة.... ويقف نجيب محفوظ خلف سطوره... وبين ثنايا معانيه يحركها وكأنه الواقف خلف ستار مسرح الدمى... يحرك عرائسه... يبدل أثوابها... يزخرفها... يلونها بألف لون ولون... ليغدو القارئ المشاهد أسير عالمه ويعود بذاكرته إلى الوراء... ليدنو إلى ما يسفر عنه الحاضر
34438913,5835922,ميرامار,,9786008004134,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488365229l/34438913._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488365229l/34438913._SX50_.jpg,2015,,,per,دنیای اقتصاد,false,1358604,51,12186,20128,5265,485,5:1349|4:2107|3:1414|2:318|1:77|total:5265,1967,,,3.82,5,0,['5835922'],['Naguib Mahfouz'],['3.94'],['2972828'],['رضا عامری'],['3.85'],چند مسافر در یک پانسیون هر کدام تقریبا به اندازه‌ی یک‌پنجم کل رمان فرصت دارند تا از خود و گذشته و رویدادهایی را که طی اقامت در میرامار شاهدند بگویند. ترکیب جمع مهمان‌های پانسیون شباهت زیادی به یک جامعه‌ی مینیاتوریزه شده دارد. یک ژورنالیست پیر، یک ملاک معذب، یک مجری جوان برنامه‌ی رادیویی، مسئول مالی یک شرکت نساجی و یک مال‌باخته‌ی بدبین، این جامعه‌ی نمادین را تشکیل داده اند. به علاوه ماریا صاحب پانسیون و زهره دختر خدمتکار جوانی که از روستا گریخته و به آن‌جا پناه آورده است، او در تمام روایت‌ها حضوری پررنگ دارد و اغلب مورد تعرض واقع می‌شود، نویسنده رمان را به صورت یک بازه ی زمانی خاص از حضور مهمان‌ها در پانسیون به اجرا می‌گذارد. صحنه‌ی نمایش اغلب همان پانسیون است و روایت‌های فردی معمولا با برخورد به یک شب‌نشینی به شباهت‌هایی در توصیف می‌رسند؛
45295471,5835922,شادی‌های گنبد,,9786009753895,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556132877l/45295471._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556132877l/45295471._SY75_.jpg,2019,4,,per,ستاک,false,295852,29,10170,15486,3927,707,5:1104|4:1755|3:858|2:162|1:48|total:3927,1981,,,3.94,1,0,['5835922'],['Naguib Mahfouz'],['3.94'],['19096470'],['محمدسعید دهیمی\u200cنژاد'],['5.00'],داستان کتاب درباره‌ی یک گروه تاتر است که مشغول تمرین بر روی نمایشنامه‌ای با عنوان《شادی‌های گنبد》 هستند. نمایش‌نامه‌ای که نویسنده در آن رازها و زوایای تاریک و پنهان و شرم‌آور زندگی آن گروه را بی‌پرده و با زبانی صریح بر روی صفحه آورده است. نمایش با وجود ترس و مخالفت اعضای گروه، با اصرار مدیر گروه بر روی صحنه می‌رود و بازیگران خود را مشغول بازی در نقش‌های واقعی و تکرار گناهان و اشتباهات گذشته خودشان، در مقابل چشم تماشاگران می‌یابند
42872397,5835922,سفرنامه‌ی ابن فطومه,,9786008854524,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542721038l/42872397._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542721038l/42872397._SX50_.jpg,2018,,,per,کیان افزار,false,8861,24,8671,15345,3878,605,5:1172|4:1612|3:892|2:159|1:43|total:3878,1983,,,3.96,1,0,['5835922'],['Naguib Mahfouz'],['3.94'],['18634863'],['جواد اصغری'],['4.00'],"رواية<br />تحكي عن رحالة عربي هاجر من بلاده بعد فشلة في الزواج من محبوبته إلى دار الجبل بحثا عن الكمال والعدالة المفقودين في بلاده. يشجعه على ذلك استاذه الذي فشل في اكمال الرحلة بسبب الحرب التي كانت تدور بين البلاد المتجاورة.<br />و يمر في رحلته على عدة بلاد ويتعطل في رحلته أكثر من مرة بسبب زواجه وسجنه. يمر في رحلته على بلاد المشرق حيث يلتقي بعروسة ويتزوجها وينجب منها 5 اطفال. ولكنه يفرق بينه وبينهم بسبب محاولته تعليم اطفاله عقيدته.<br />ثم بعد ذلك يرحل إلى البلد التالية وهي بلاد الحيرة. يرى فيها ان الملك يعتبر تمثيل لله وتدور حرب بين الحيرة والمشرق وتنتصر جيوش الحيرة وتصبح عروسة إحدى السبايا ويشتريها. ولكن الحكيم الأكبر للملك يريدها لنفسة فيتسبب في دخول ابن فطومة إلى السجن لمدة 20 عاما. يقوم انقلاب على الملك الحالي وياتي ملك جديد ويحرر ابن فطومة. يترك دار الحيرة راحلا إلى"" بلاد الحلبة "" حيث يجد ان الشعوب شديدة الحرية الدينية وان كل الديانات تتعايش في البلد بما فيها الالحاد. يتزوج للمرة الثانية من سامية وهي ممرضة وينجب منها. يرحل إلى دار الامان بحثا عن استكمال رحلته ويرى في دار الامان ان كل فرد مشجع على التجسس على صاحبه.و ان كل فرد لا يحق له ابداء ارائه في غير مجاله وعمله ثم يتركها راحالا إلى بلاد الغروب التي تعتبر المحطة النهائية قبل وصولة إلى دار الجبل ومنها يرحل إلى دار الجبل بسبب الحرب الدائرة وبعد سفر شهر متواصل يصل بوابات دار الجبل وعندها يصل إلى نهاية الرواية ويترك القارئ لاستنتاج النهاية."
1941342,5835922,گدا,9644482247,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303297135l/1941342._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303297135l/1941342._SX50_.jpg,2006,,,per,نیلوفر,false,6127731,32,8421,13270,3571,538,5:952|4:1205|3:982|2:312|1:120|total:3571,1965,,,3.72,183,30,"['5835922', '5835922', '782331']","['Naguib Mahfouz', 'Naguib Mahfouz', 'محمد دهقانی']","['3.94', '3.94', '3.44']",[],[],[],الشحاذ، هي إحدى روايات نجيب محفوظ، نُشرت عام 1965. تكمن أهمية رواية الشحاذ في أنها تعدّ أنموذجا بليغا لهذه المرحلة من تجربة نجيب محفوظ الفنية. مع هذه الرواية اكتملت ملامح البطل الروائي الإشكالي في علاقته بالعالم والزمان والمكان مستدعيا تبعا لذلك نمطا مختلفا لسارد استبدل عينا بأخرى وموقعا بآخر وخطابا بآخر مخالف.
34530021,5835922,حضرت والا,,9786002531469,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489214756l/34530021._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489214756l/34530021._SY75_.jpg,2014,,,per,(کتاب پارسه (سبحان,false,6121450,26,6670,11494,2898,458,5:928|4:1155|3:633|2:153|1:29|total:2898,1975,,,3.97,10,5,['5835922'],['Naguib Mahfouz'],['3.94'],['7095717'],['کریم پورزبید'],['3.45'],<b>حضرت والا</b> داستان کارمندی است که وقتی برای اولین بار پایش به اتاق یکی از مدیرکل‌ها باز می‌شود، تشریفات و مناسبات اداری او را مسحور می‌کند و با خودش عهد می‌بندد که روزی میز ریاست را از آن خود کند؛<br /><br /><b>حضرت والا</b> روایتِ این طی طریق است که توسط عثمان بیومی شخص اول داستان، انجام می‌شود تا به تدریج مدارج ترقی را طی کند و در این راه خیلی چیزها را از دست می‌دهد. این رمان دیدگاه نجیب محفوظ را در مورد زندگی آشکار می‌کند. مردی که به قلبش خیانت و به عشق پشت کرد تا پله‌های ترقی را بالا رود و… ؛
43239627,5835922,آخن آتن,,9786008964315,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544878952l/43239627._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544878952l/43239627._SX50_.jpg,2018,,,per,ایجاز,false,66025186,35,6647,11086,2909,425,5:789|4:1070|3:809|2:193|1:48|total:2909,1985,1,1,3.81,0,0,"['5835922', '5835922']","['Naguib Mahfouz', 'Naguib Mahfouz']","['3.94', '3.94']",['18700624'],['وحید باقری\u200f\u202b'],['0.0'],"From the winner of the Nobel Prize for Literature and author of the Cairo trilogy, comes Akhenaten, a fascinating work of fiction about the most infamous pharaoh of ancient Egypt.<br /><br />In this beguiling new novel, originally published in 1985 and now appearing for the first time in the United States, Mahfouz tells with extraordinary insight the story of the ""heretic pharaoh,"" or ""sun king,""--and the first known monotheistic ruler--whose iconoclastic and controversial reign during the 18th Dynasty (1540-1307 B.C.) has uncanny resonance with modern sensibilities. Narrating the novel is a young man with a passion for the truth, who questions the pharaoh's contemporaries after his horrible death--including Akhenaten's closest friends, his most bitter enemies, and finally his enigmatic wife, Nefertiti--in an effort to discover what really happened in those strange, dark days at Akhenaten's court. As our narrator and each of the subjects he interviews contribute their version of Akhenaten, ""the truth"" becomes increasingly evanescent. Akhenaten encompasses all of the contradictions his subjects see in him: at once cruel and empathic, feminine and barbaric, mad and divinely inspired, his character, as Mahfouz imagines him, is eerily modern, and fascinatingly ethereal. An ambitious and exceptionally lucid and accessible book, Akhenaten is a work only Mahfouz could render so elegantly, so irresistible."
