id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
657611,7469,تعلیمات دون خوان,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512077442l/657611._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512077442l/657611._SX50_.jpg,1986,,,per,شباهنگ,false,2029104,135,62517,142289,36112,1054,5:12887|4:12196|3:7916|2:2209|1:904|total:36112,1968,,,3.94,76,7,['8088'],['Carlos Castañeda'],['4.04'],['3045554'],['حسین نیر'],['3.60'],"Decades ago the University of California Press published a remarkable manuscript by an anthropology student named Carlos Castaneda. The Teachings of Don Juan initiated a generation of seekers dissatisfied with the limitations of the Western worldview. Castaneda's now classic book remains controversial for the alternative way of seeing that it presents &amp; the revolution in cognition it demands. In a series of fascinating dialogs, Castaneda sets forth his partial initiation with don Juan Matus, a Yaqui Indian shaman from the state of Sonora, Mexico. He describes Don Juan's perception &amp; mastery of the ""non-ordinary reality"" &amp; how peyote &amp; other plants sacred to the Mexican Indians were used as gateways to the mysteries of ""dread,"" ""clarity"" &amp; ""power""."
6933030,7469,کتاب دلواپسی,9643512746,9789643512743,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525779966l/6933030._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525779966l/6933030._SX50_.jpg,2007,,,per,نگاه,false,983806,229,56061,87771,19694,1890,5:12527|4:4678|3:1697|2:541|1:251|total:19694,1982,6,,4.46,42,10,['7816'],['Fernando Pessoa'],['4.25'],['1410954'],['جاهد جهانشاهی'],['3.65'],کتاب دلواپسی، که پسوا بیش از بیست سال زمان، برای نوشتن آن سپری کرد، سندی از اندوه هستی گرایانه ی اوست. این کتاب به اموری چون پیدایش انسان، مفهوم زندگی و اسرار من ِ خویش می‌پردازد. پس از پیدا کردن دوباره ی دست نوشته‌های پسوا در سال ۱۹۸۲، جهانیان بی‌درنگ به شایستگی‌های ستودنی وی پی بردند، و دریافتند که او همزمان بزرگترین نویسنده ی قرن پرتغال، نخستین پایه‌گذار نوگرایی در کشورش، و نخستین بانی پسانوگرایی در جهان بوده‌است. فرناندو پسوا به شدت تحت تأثیر ژرف‌اندیشی و جهان‌نگری «خیام» بوده، و هرجا که فرصتی یافته، لب به ستایش وی گشوده‌است. کتاب دلواپسی نیز به گونه‌ای با اندیشه ی خیام گره خورده‌است. پسوا را در زمینه سرایندگی با ریکله و در زمینه نثر با شکسپیر قابل مقایسه دانسته‌اند. نقل از ویکیپدیا
6562249,7469,به من گوش سپار چنان که به باران,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363537269l/6562249._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363537269l/6562249._SX50_.jpg,,,,per,انتشارات مروارید,false,14111,10,6663,12720,2959,53,5:1488|4:973|3:413|2:64|1:21|total:2959,1987,,,4.30,12,4,['7469'],['Octavio Paz'],['4.14'],['3071583'],['سعید سعیدپور'],['3.57'],"This landmarked bilingual edition gathers all the poetry the 1990 Nobel Laureate has published in book form since 1957, the year his long poem ""Sunstone""--her translated anew--made its first appearance. Included are the complete texts of ""Days and Occasions"", ""Solo for Two Voices"", ""A Drift of Shadows"", ""East Slope"", ""Toward the Beginning"", and more; plus Paz's most recent collection, A Tree Within."
26137125,7469,سمندر، ورایِ عشق,,9789643809270,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440114297l/26137125._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440114297l/26137125._SX50_.jpg,2014,,,per,ثالث,false,14111,10,6663,12720,2959,53,5:1488|4:973|3:413|2:64|1:21|total:2959,1987,,,4.30,4,2,['7469'],['Octavio Paz'],['4.14'],['11214495'],['فؤاد نظیری'],['3.67'],"This landmarked bilingual edition gathers all the poetry the 1990 Nobel Laureate has published in book form since 1957, the year his long poem ""Sunstone""--her translated anew--made its first appearance. Included are the complete texts of ""Days and Occasions"", ""Solo for Two Voices"", ""A Drift of Shadows"", ""East Slope"", ""Toward the Beginning"", and more; plus Paz's most recent collection, A Tree Within."
3634588,7469,سنگ آفتاب,9646380301,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500322981l/3634588._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500322981l/3634588._SY75_.jpg,2003,,,per,کتاب زمان,false,776510,23,1981,3615,823,67,5:471|4:231|3:98|2:19|1:4|total:823,1957,,,4.39,50,13,['7469'],['Octavio Paz'],['4.14'],['3094526'],['احمد میرعلائی'],['3.96'],"مجموعه حاضر حاوی هفت قطعه شعر از اوکتاویو پاز ( 1914ـ 1988) شاعر اسپانیایی است .در ابتدای کتاب به گونه‌ای اجمالی شاعر و ویژگی‌های شعرش معرفی شده از جمله خاطر نشان شده است"" :پاز""، شاعر عشق است، چنان که شاعر مرگ و انزوا هم هست .شعرش عمق متافیزیکی دارد .توجه‌اش بیشتر به تضاد میان هستی بی زمان و هستی در زمان است .""...برای مثال در قطعه ""سنگ آفتاب ""می‌خوانیم :بیدی از بلور، سپیداری از آب،/ فواره‌ای بلند که باد کمانی‌اش می‌کند،/ درختی رقصان اما ریشه در اعماق،/ بستر رودی که می‌پیچد، پیش می‌رود،/ روی خویش خم می‌شود، دور می‌زند/ و همیشه در راه است /: کوره راه خاموش ستارگان/ ...."
1973273,7469,سنگ آفتاب,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512602770l/1973273._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512602770l/1973273._SY75_.jpg,1993,,,per,زنده‌رود، چ‍ش‍م‌ و چ‍راغ‌,false,776510,23,1981,3615,823,67,5:471|4:231|3:98|2:19|1:4|total:823,1957,,,4.39,10,1,['7469'],['Octavio Paz'],['4.14'],['3094526'],['احمد میرعلائی'],['3.96'],"این نسخه به صورت پی دی اف از لینک زیر قابل دسترسی هست، می توانید دانلود کنید<br /><br /><a target=""_blank"" href=""http://ketabnak.com/book/72131/%D8%B3%D9%86%DA%AF-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8"" rel=""nofollow"">http://ketabnak.com/book/72131/%D8%B3...</a>"
13425034,7469,(سنگِ خورشید (مجموعۀ کاملِ اشعارِ اُکتاویو پاز، جلدِ یکم,9649450149,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327601226l/13425034._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327601226l/13425034._SX50_.jpg,2008,,,per,نشرِ اسطوره,false,776510,23,1981,3615,823,67,5:471|4:231|3:98|2:19|1:4|total:823,1957,,,4.39,2,1,['7469'],['Octavio Paz'],['4.14'],['961909'],['ابوالقاسم اسماعیل\u200cپور مطلق'],['3.74'],"Nobel laureate Octavio Paz's premier long poem Sunstone/Piedra de sol is here printed as a separate volume, with beautiful illustrations from eighteenth-century treatise on the Mexican calender."
678512,7469,درخت درون,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,,,per,اسطوره,false,1814268,7,542,951,225,17,5:102|4:83|3:31|2:7|1:2|total:225,1988,11,,4.23,22,3,"['7469', '961909']","['Octavio Paz', 'ابوالقاسم اسماعیل\u200cپور مطلق']","['4.14', '3.74']",[],[],[],"Árbol adentro = A tree within, Octavio Paz<br />عنوان: درخت درون؛ شاعر: اکتاویو پاز؛ مترجم: ابوالقاسم اسماعیل پور؛ تهران، اسطوره، 1383؛ در 205 ص؛ موضوع: شعر اسپانیائی - مکزیکی - قرن 20 م"
363753,7469,خ‍ی‍ال‌پ‍ردازی‌ه‍ای‌ ش‍ب‍ان‍ه‌,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559044625l/363753._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559044625l/363753._SY75_.jpg,2005,,,per,مروارید,false,353823,2,26,43,10,0,5:5|4:3|3:2|2:0|1:0|total:10,1993,1,1,4.30,6,0,['7469'],['Octavio Paz'],['4.14'],['6994486'],['فریبا  گورکین'],['4.00'],
4478138,7469,عقاب یا خورشید,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,per,ویستار,false,4526430,1,9,25,6,3,5:4|4:1|3:0|2:0|1:1|total:6,2008,,,4.17,6,3,"['7469', '7834185']","['Octavio Paz', 'تینا حمیدی']","['4.14', '3.64']",[],[],[],
31019981,7469,درباره ادبیات,9646138365,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,,,per,نشر و پ‍ژوه‍ش‌ ف‍رزان‌ روز,false,51647042,1,10,14,4,0,5:0|4:3|3:0|2:1|1:0|total:4,,,,3.50,4,0,"['7469', '6878', '17219', '3094526']","['Octavio Paz', 'John Updike', 'Arthur Koestler', 'احمد میرعلائی']","['4.14', '3.80', '4.03', '3.96']",[],[],[],
