id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
39722998,29574,حماسه‌ی بیوولف,,9786002532497,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522927087l/39722998._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522927087l/39722998._SX50_.jpg,,,,per,parse,false,189503,1078,381568,778284,225993,6310,5:47845|4:63839|3:69425|2:30544|1:14340|total:225993,975,,,3.44,6,1,"['4699102', '17911305']","['Unknown', 'عباس گودرزی']","['3.57', '3.71']",[],[],[],"Beowulf is a major epic of Anglo-Saxon literature, probably composed between the first half of the seventh century and the end of the first millennium. The poem was inspired by the oral tradition Anglo-Saxon and Germanic transcribed a verse epic, recounting the exploits of Beowulf hero who gave his name to the poem, on which are grafted chretiens additions."
3782420,29574,دوزخ (کمدی الهی، #1),,9789640003978,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394566902l/3782420._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394566902l/3782420._SY75_.jpg,1968,,,per,امیرکبیر,false,2377563,1337,311098,540342,135004,4657,5:50659|4:46349|3:28068|2:7519|1:2409|total:135004,1320,,,4.00,102,17,"['5031312', '290375']","['Dante Alighieri', 'Gustave Doré']","['4.02', '4.16']",['1031172'],['شجاع\u200cالدین شفا'],['3.95'],
2357667,29574,دوزخ (کمدی الهی),,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1263453851l/2357667._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1263453851l/2357667._SX50_.jpg,1968,,,per,امیرکبیر,false,2377563,1337,311098,540342,135004,4657,5:50659|4:46349|3:28068|2:7519|1:2409|total:135004,1320,,,4.00,110,9,['5031312'],['Dante Alighieri'],['4.02'],['1031172'],['شجاع\u200cالدین شفا'],['3.95'],دوزخ - دانته آلیگیری کمدی الهی ترجمه شجاع الدین شفا
26930562,29574,دوزخ (کمدی الهی، #1),,9786005026429,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444327528l/26930562._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444327528l/26930562._SX50_.jpg,2009,,,per,بنگاه ترجمه و نشر کتاب پارسه,false,2377563,1337,311098,540342,135004,4657,5:50659|4:46349|3:28068|2:7519|1:2409|total:135004,1320,,,4.00,3,0,"['5031312', '14451583']","['Dante Alighieri', 'امیر نیکبخت']","['4.02', '3.14']",['3151313'],['محسن نیکبخت'],['3.67'],"ای آنکه این نوشته را می‌خوانی، به بخشی از ""برزخ""نظر افکن... گفتم:"" ای شاعر والامقام! بسیار مشتاقم با دو روحی که در کنار هم، دست در دست، از میان تند باد سیاه، با چنین سبکبالی می‌گذرند، سخن گویم...!"" پاسخم داد:"" صبر کن، تا اندکی نزدیک‌تر آیند..."" به محض آن که باد، آنان را به سمتمان پرواز داد، بانگ زدم: ""ای ارواح رنجدیده! که ناتوان به این سو و آن سو ره سپارید، چناچه در آمدنتان منعی نیست، قدم رنجه کنید! نزدیک آیید تا سخن گوییم ..."" چون دو کبوترانی دلداده، با بالهایی گسترده که با عشقی شورانگیز در هوا به نقطه‌ای معین پر کشند، و سوی آشیانة محبوبشان پرواز کنند، آنان نیز، آن گونه از میان گروهی که دیدن در بینشان بود، خارج شدند وز میان هوای ناپاک و بد گذشتند.. آری...چنین بود قدرت آوای محبت آمیز من...! ""آه! ای موجود زنده‌ای که جنین مهربان و فروتنی، وز میان این هوای سیاه و کدر. به ملاقات ما که جهان را با خونمان آغشته و رنگین ساختیم، آمدی، چناچه شهریار عالم، دوستمان داشت.، ازو خواهش می‌گردیم در صلح و آرامش، محفوظ نگاهت دارد! زیرا تونیز به درد و رنج دشوارمان رحمت آوردی! عشق که قادر است قلبی شریف را به سرعت مشتعل سازد، گریبانگیر این خوبرو جوان شد، دل در گرو کالبد زیبایی سپرد کز من ستاندند، گونه‌ای کز آن بابت، هنوز آزرده و جریحه دارم... عشق که قادر است معشوق را به دوست داشتن وادارد، باعث شد چنان لذتی ازو ببرم که هنوز هم در بند خود، اسیرم داشته و هرگز رهایم نخواهد ساخت...! عشق، ما را به مرگی یکسان کشاند... دایرة قابیل انتظار آن کس کشد، که هستی از ما ستاند... این سخنان غمبار، از سوی آنان، خطاب به ما بود"
27247497,29574,دوزخ (کمدی الهی، #1),964658120X,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445421764l/27247497._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445421764l/27247497._SX50_.jpg,1999,,,per,تیر,false,2377563,1337,311098,540342,135004,4657,5:50659|4:46349|3:28068|2:7519|1:2409|total:135004,1320,,,4.00,1,1,['5031312'],['Dante Alighieri'],['4.02'],['7382926'],['فریده مهدوی دامغانی'],['3.79'],"کتاب, ترجمه دیگری است از((کمدی الهی)) اثر سترگ دانته شاعر ایتالیایی ( 1265ـ 1321م) .دانته در این اثر در مرکز دنیایی خیال‌انگیز قرار گرفته که با تناسب و خوش‌آهنگی خاص, عالم شاعرانه, عالم الهی و دنیای محسوس و مافوق محسوس را به هم می‌پیوندد .در این سفر روحانی که شاعر در جست و جوی خیر مطلق است, عشق بشری نیز سهمی دارد ;بشری که زیبایی را دوست دارد, زیرا خدا کمال همه زیبایی‌ها و عشق‌های مخلوق است .دانته در اثر حاضر به نقطه‌ای می‌رسد که عالم طبیعت و عالم رحمت الهی یک دیگر را تلاقی می‌کنند و به این طریق او داور زندگان و مردگان می‌شود .((دوزخ)) در کتاب دانته قلمرو ظلمت است ;گرداب دردناکی که آدمی در آن لحظه‌ای که زندگی عقلانی و آمیخته با فضیلت و تقوا را رها می‌کند و از روشنی‌ها دست می‌کشد, در قعر این گرداب سرنگون می‌شود .به دیگر سخن, بشر در دوزخ به گرداب زندگی خودخواهانه غوطه‌ور می‌گردد, شعور زیستن را از دست می‌دهد و همه عمر را تنها در عالم خودپرستی می‌گذراند ... مقدمه مفصل دوزخ, نوشته‌ای است از((آندره پزار)) در باب این کتاب .در چاپ حاضر تصاویری سیاه و سپید از ماجرای داستان به طبع رسیده است"
36672752,29574,(کمدی الهی (دوزخ,,9786006767338,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511801015l/36672752._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511801015l/36672752._SX50_.jpg,1394,,,per,گارگاه فیلم و گرافیک سپاس,false,2377563,1337,311098,540342,135004,4657,5:50659|4:46349|3:28068|2:7519|1:2409|total:135004,1320,,,4.00,0,0,['5031312'],['Dante Alighieri'],['4.02'],[],[],[],"Guided by the poet Virgil, Dante plunges to the very depths of Hell and embarks on his arduous journey towards God. Together they descend through the twenty-four circles of the underworld and encounter the tormented souls of the damned - from heretics and pagans to gluttons, criminals and seducers - who tell of their sad fates and predict events still to come in Dante's life. In this first part of his <i>Divine Comedy</i>, Dante fused satire and humour with intellect and soaring passion to create an immortal Christian allegory of mankind's search for self-knowledge and spiritual enlightenment."
27228231,29574,آنتیگونه,9643292770,9789643292775,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528209358l/27228231._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528209358l/27228231._SY75_.jpg,2014,,,per,نشر آگه,false,1052210,579,155625,367936,100827,2684,5:23168|4:33601|3:31906|2:9822|1:2330|total:100827,-441,,,3.65,63,12,['1002'],['Sophocles'],['3.77'],['851957'],['نجف دریابندری'],['3.75'],آنتیگونه تراژدی دیگری از سه‌گانه‌ تراژدی‌های «تِبِس» سوفوکلس است که نخستین بار در سال ۴۴۲ یا ۴۴۰ پیش از میلاد اجرا شده است. پیش از آغاز داستان، پسران اودیپوس، اتئوکلس و پولی‌نیکوس، در جنگ با یک‌دیگر بر سر تاج‌وتخت شهر کشته شده‌اند. کرئون، جانشین اتئوکلس، فرمان می‌دهد که جسد او را با تجلیل به خاک بسپارند، اما جسد پولی‌نیکوس را روی خاک بگذارند تا خوراک سگان و لاشخوران شود. این فرمان خلاف «قانون خدایان» و آیین مردم شهر است و آنتیگونه و ایسمنه، خواهران دو برادر کشته‌شده، از این تصمیم ناراضی‌اند. در آغاز تراژدی، آنتیگونه خواهرش ایسمنه را به بیرون کاخ می‌برد تا او را از تصمیمی که دارد آگاه کند؛ او می‌خواهد جسد پولی‌نیکوس را به خاک بسپارد و این برخلاف دستور کرئون است. ایسمنه نمی‌تواند آنتیگونه را منصرف کند و با او همکاری هم نمی‌کند، چراکه از مجازات مرگ می‌ترسد. با این حال، آنتیگونه تصمیم‌اش را عملی می‌کند و با این کار خشم کرئون را به خود برمی‌انگیزاند و ...
27235936,29574,آنتیگن,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445272194l/27235936._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445272194l/27235936._SX50_.jpg,1955,,,per,نیل,false,1052210,579,155625,367936,100827,2684,5:23168|4:33601|3:31906|2:9822|1:2330|total:100827,-441,,,3.65,4,0,['1002'],['Sophocles'],['3.77'],['1012343'],['Shahrokh Meskoob'],['3.87'],به ضمیمه ی آنتیگن و لذت تراژیک از آندره بونار
3396779,29574,سرزمین هرز,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505566756l/3396779._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505566756l/3396779._SX50_.jpg,1983,,,per,فاریاب,false,389834,394,88127,167696,40831,1074,5:18212|4:12736|3:6893|2:2023|1:967|total:40831,1922,,,4.11,51,5,['18540'],['T.S. Eliot'],['4.16'],['1356404'],['بهمن شعله\u200cور'],['3.83'],"The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.<br /><br />For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni &amp; Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with invaluable materials on The Waste Land's sources, composition, and publication history. ""Criticism"" traces the poem's reception with twenty-five reviews and essays, from first reactions through the end of the twentieth century. Included are reviews published in the Times Literary Supplement, along with selections by Virginia Woolf, Gilbert Seldes, Edmund Wilson, Elinor Wylie, Conrad Aiken, Charles Powell, Gorham Munson, Malcolm Cowley, Ralph Ellison, John Crowe Ransom, I. A. Richards, F. R. Leavis, Cleanth Brooks, Delmore Schwartz, Denis Donoghue, Robert Langbaum, Marianne Thormählen, A. D. Moody, Ronald Bush, Maud Ellman, and Tim Armstrong. A Chronology and Selected Bibliography are included."
20647502,29574,سرزمین بی حاصل,,9789644482359,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390935724l/20647502._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390935724l/20647502._SY75_.jpg,2004,,,per,نیلوفر,false,389834,394,88127,167696,40831,1074,5:18212|4:12736|3:6893|2:2023|1:967|total:40831,1922,,,4.11,25,8,['18540'],['T.S. Eliot'],['4.16'],['6507096'],['جواد علافچی'],['3.92'],سرزمین بی‌ حاصل که با نام سرزمین هرز هم به فارسی برگردان شده، شاهکار تی. اس. الیوت شاعر آمریکایی تبار انگلیسی است که بی‌گمان نظر هر که را اهل شعر و شاعری است، به سوی خود جلب کرده، خواه از آن به سرعت گذشته باشد، خواه اینکه در آن درنگ کرده باشد، چرا که این بستگی به ذوق و سلیقه‌ی شخصی خواننده دارد. این منظومه که در حدود ده سال پرآوازه‌ترین و جنجال برانگیزترین سروده‌ی زمان خود بود در سال ۱۹۲۲ منتشر گشت و در سال ۱۹۴۸ جایزه‌ی نوبل را برای سراینده خود کسب نمود.
18589755,29574,سرزمین ویران,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505567493l/18589755._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505567493l/18589755._SX50_.jpg,2009,2,,per,سی و دو حرف,true,389834,394,88127,167696,40831,1074,5:18212|4:12736|3:6893|2:2023|1:967|total:40831,1922,,,4.11,3,1,['18540'],['T.S. Eliot'],['4.16'],"['7304278', '17163408']","['محمود داوودی', 'خلیل پاک نیا']","['1.67', '1.67']",مجموعه ای از شعر های تی. اس. الیوت:<br /><br />1. سرزمین ویران<br />2. آواز عاشقانه جی آلفرد پروفراک<br />3. پیری<br />4. سفر مجوسان<br />5. رژه پیروزی<br />6. مشکلات یک دولت مرد<br />7. مردان پوک<br />8. چند شعر کوتاه<br />9. سنت و استعداد فردی
51344816,29574,منظومه سرزمین بی‌حاصل,,9786001217098,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,389834,394,88127,167696,40831,1074,5:18212|4:12736|3:6893|2:2023|1:967|total:40831,1922,,,4.11,1,0,['18540'],['T.S. Eliot'],['4.16'],['1982501'],['حسن شهباز'],['3.89'],"The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.<br /><br />For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni &amp; Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with invaluable materials on The Waste Land's sources, composition, and publication history. ""Criticism"" traces the poem's reception with twenty-five reviews and essays, from first reactions through the end of the twentieth century. Included are reviews published in the Times Literary Supplement, along with selections by Virginia Woolf, Gilbert Seldes, Edmund Wilson, Elinor Wylie, Conrad Aiken, Charles Powell, Gorham Munson, Malcolm Cowley, Ralph Ellison, John Crowe Ransom, I. A. Richards, F. R. Leavis, Cleanth Brooks, Delmore Schwartz, Denis Donoghue, Robert Langbaum, Marianne Thormählen, A. D. Moody, Ronald Bush, Maud Ellman, and Tim Armstrong. A Chronology and Selected Bibliography are included."
18039205,29574,سرزمین هرز,,9789643624071,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370352794l/18039205._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370352794l/18039205._SX50_.jpg,,,,per,چشمه,false,389834,394,88127,167696,40831,1074,5:18212|4:12736|3:6893|2:2023|1:967|total:40831,1922,,,4.11,1,1,['18540'],['T.S. Eliot'],['4.16'],['1356404'],['بهمن شعله\u200cور'],['3.83'],"The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.<br /><br />For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni &amp; Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with invaluable materials on The Waste Land's sources, composition, and publication history. ""Criticism"" traces the poem's reception with twenty-five reviews and essays, from first reactions through the end of the twentieth century. Included are reviews published in the Times Literary Supplement, along with selections by Virginia Woolf, Gilbert Seldes, Edmund Wilson, Elinor Wylie, Conrad Aiken, Charles Powell, Gorham Munson, Malcolm Cowley, Ralph Ellison, John Crowe Ransom, I. A. Richards, F. R. Leavis, Cleanth Brooks, Delmore Schwartz, Denis Donoghue, Robert Langbaum, Marianne Thormählen, A. D. Moody, Ronald Bush, Maud Ellman, and Tim Armstrong. A Chronology and Selected Bibliography are included."
