id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
13559393,1197,جشن تولد و تک‌گویی,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332625870l/13559393._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332625870l/13559393._SY75_.jpg,,,,per,,false,71685,27,15149,32895,8750,270,5:2349|4:3158|3:2282|2:711|1:250|total:8750,1957,,,3.76,30,3,"['1197', '4724841']","['Harold Pinter', 'رضا دادویی']","['3.79', '3.60']",[],[],[],"Stanley Webber is visited in his boarding house by strangers, Goldberg and McCann. An innocent-seeming birthday party for Stanley turns into a nightmare.<br /><br /><b>The Birthday Party</b> was first performed in 1958 and is now a modern classic, produced and studied throughout the world."
18754820,1197,جشن تولد، به همراه نقدی از استیون اچ گیل,,9789647640978,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514999603l/18754820._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514999603l/18754820._SX50_.jpg,2009,,,per,افراز,false,71685,27,15149,32895,8750,270,5:2349|4:3158|3:2282|2:711|1:250|total:8750,1957,,,3.76,12,4,"['1197', '4938599']","['Harold Pinter', 'شعله آذر']","['3.79', '3.47']",[],[],[],جشنِ تولد، یک نمایش نامه، یک نقد نمایش‌نامه‌ای از هارولد پینتر(۲۰۰۸-۱۹۳۰)، نمایش‌نویس انگلیسی برنده جایزه نوبل ادبیات به همراه نقدی از استیون اچ. گیل است. این اثر یکی از موفق‌ترین آثار پینتر است<br />با ورود دو مستأجر غریبه در خانه‌ای ساحلی، جشن تولد کوچکی تبدیل به کابوس می‌شود. این نمایش‌نامه درونمایه‌ای نمادین و طنز دارد که با عناصری از ابهام شخصیت و ابهام در زمان و مکان همراه است. از شخصیت‌های این نمایش‌نامه مردی شصت ساله است، که متصدی صندلی‌های یک استراحت‌گاه ساحلی در انگلستان است و همسر او، زن شصت ساله‌ی شلخته‌ای است، که «پانسیون‌شان» را اداره می‌کند. یک پیانیست سابق که مستأجر خانواده‌ی آن‌هاست و دختر کمابیش بیست‌ساله‌ای که همسایه‌شان است و همچنین یک یهودی پنجاه ساله و یک کشیش «تازه خلع لباس‌شده» نیز از شخصیت‌های این نمایش‌نامه هستند.
6713630,1197,بازگشت به خانه,9649311739,9789649311739,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342960388l/6713630._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342960388l/6713630._SY75_.jpg,2008,,,per,نشر هزاره‌ی سوم,false,491264,23,11734,27231,7289,259,5:2048|4:2481|3:1825|2:657|1:278|total:7289,1964,1,1,3.74,33,5,['1197'],['Harold Pinter'],['3.79'],['2817671'],['فتاح محمدی'],['3.82'],"In an old and slightly seedy house in North London there lives a family of men: Max, the aging but still aggressive patriarch; his younger, ineffectual brother Sam; and two of Max's three sons, neither of whom is married -- Lenny, a small-time pimp, and Joey, who dreams of success as a boxer. Into this sinister abode comes the eldest son, Teddy, who, having spent the past six years teaching philosophy in America, is now bringing his wife, Ruth, home to visit the family she has never met. As the play progresses, the younger brothers make increasingly outrageous passes at their sister-in-law until they are practically making love to her in front of her stunned but strangely aloof husband.<br />"
3961548,1197,خیانت,,9789643129453,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,per,نشر نی,false,94722,37,11107,25657,6476,300,5:2258|4:2314|3:1425|2:357|1:122|total:6476,1978,,,3.96,330,33,['1197'],['Harold Pinter'],['3.79'],"['13563835', '1956891']","['Tinouche Nazmjou', 'نگار جواهریان']","['3.77', '3.57']","<i>Betrayal</i> is Pinter's latest full-length play since the enormous success of <i>No Man's Land</i>. The play begins in 1977, with a meeting between adulterous lovers, Emma and Jerry, two years after their affair has ended. During the nine scenes of the play, we move back in time, through the states of their affair, with the play ending in the house of Emma and Robert, her husband, who is Jerry's best friend.<br /><br />The classic dramatic scenario of the love triangle is manifest in a mediation on the themes of marital infidelity, duplicity, and self-deception. Pinter writes a world that simultaneously glorifies and debases love."
18628226,1197,از خاکستر به خاکستر,9647204183,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527801026l/18628226._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527801026l/18628226._SY75_.jpg,,,,per,تجربه,false,71681,8,716,1415,392,30,5:75|4:144|3:128|2:35|1:10|total:392,1996,,,3.61,14,1,['1197'],['Harold Pinter'],['3.79'],['857281'],['هوشنگ حسامی'],['3.59'],"First presented by the Royal Court Theatre in London in September of 1996, Ashes to Ashes is a triumph of power and concision. In the living room of a pleasant house in a university town outside of London, Devlin, threatened by his wife Rebecca's recollections of an abusive ex-lover, questions her relentlessly in his need for a single truth. In her seamless blending of what she knows of violence with the wider violence of the world, Rebecca reveals an eerie communion with the dead victims of unnamed political barbarities.<br />"
25084459,1197,اتاق,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425646180l/25084459._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425646180l/25084459._SX50_.jpg,2014,,,per,,true,24252076,3,711,1380,411,33,5:50|4:122|3:178|2:47|1:14|total:411,1957,,,3.36,3,0,['1197'],['Harold Pinter'],['3.79'],['8293787'],['سید مصطفی رضیئی'],['3.08'],
16112107,1197,آسایشگاه,9643418991,9789643418991,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351354312l/16112107._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351354312l/16112107._SY75_.jpg,2010,,,per,نشر قطره,false,1212146,15,592,1314,352,32,5:80|4:135|3:105|2:27|1:5|total:352,1981,3,1,3.73,15,2,['1197'],['Harold Pinter'],['3.79'],['5307879'],['بهرام قاسمی\u200cنژاد'],['3.19'],
26817736,1197,درد مختصر,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443251690l/26817736._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443251690l/26817736._SX50_.jpg,2004,,,per,کتاب زمان,false,608977,5,333,671,194,18,5:30|4:66|3:66|2:27|1:5|total:194,1961,,,3.46,2,1,"['1197', '14422519', '14422520']","['Harold Pinter', 'هارولد پینتر', 'پیمان مجیدی']","['3.79', '3.41', '3.00']",[],[],[],سال نشر: 1383
37805714,1197,درد خفیف,,9786007556016,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514999335l/37805714._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514999335l/37805714._SX50_.jpg,64,,,per,بوتیمار,false,608977,5,333,671,194,18,5:30|4:66|3:66|2:27|1:5|total:194,1961,,,3.46,6,0,['1197'],['Harold Pinter'],['3.79'],['4938599'],['شعله آذر'],['3.47'],فلورا: صداش رو می شنوی؟ ادوارد: صداش رو؟ فلورا: وز وزش. ادوارد: چرت و پرت نگو تو چطور صداش رو می شنوی؟ درش سفالیه. فلورا: دیوانه شده. ادوارد: مزخرفه، ببرش از سر میز. فلورا: باهاش چیکار کنیم؟ ادوارد: بذارش تو ظرف شویی و آب باز کن روش
3670098,1197,اتاق و بالابر غذا,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,,,per,سبزان,false,24252078,10,223,475,132,12,5:28|4:43|3:45|2:12|1:4|total:132,1957,1,1,3.60,33,3,"['1197', '4724841']","['Harold Pinter', 'رضا دادویی']","['3.79', '3.60']",[],[],[],
